"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"student","1","vote","top","496","x","105","filler"
"chocolate","1","shavings","top","598","x","105","filler"
"shoe","1","soles","bottom","429","x","105","test"
"college","1","property","bottom","386","x","105","filler"
"water","1","bird","top","653","x","105","filler"
"sugar","1","alcohol","top","455","x","105","filler"
"coal","0","country","bottom","495","o","105","filler"
"tax","1","wealth","bottom","414","x","105","filler"
"house","1","cellar","bottom","404","x","105","test"
"nose","1","itch","bottom","369","o","105","filler"
"mountain","1","base","bottom","451","x","105","test"
"dog","1","collar","top","465","x","105","test"
"mushroom","1","cap","top","693","o","105","test"
"house","1","attic","top","501","o","105","test"
"corn","1","seed","bottom","503","o","105","test"
"hotel","1","lobby","bottom","517","x","105","test"
"trouser","1","hem","bottom","485","x","105","test"
"flower","1","stem","bottom","417","x","105","test"
"steam","1","turbine","bottom","432","x","105","filler"
"street","1","corner","bottom","373","x","105","test"
"coconut","1","tree","top","488","x","105","test"
"desk","1","lamp","top","458","x","105","test"
"cowboy","1","hat","top","509","x","105","test"
"horse","1","mane","top","333","o","105","test"
"moth","0","wing","bottom","338","o","105","filler"
"table","1","leg","bottom","439","x","105","test"
"birth","1","rash","top","523","o","105","filler"
"tree","1","leaves","top","703","o","105","test"
"water","1","algae","bottom","454","o","105","filler"
"bird","1","talon","bottom","590","o","105","test"
"summer","1","clothes","bottom","500","x","105","filler"
"summer","1","money","top","451","o","105","filler"
"coffee","0","tension","top","466","x","105","filler"
"bear","1","claw","bottom","534","o","105","test"
"mushroom","1","stalk","bottom","528","x","105","test"
"sugar","0","extract","bottom","482","o","105","filler"
"cane","1","sugar","top","354","o","105","filler"
"desk","1","drawer","bottom","447","o","105","test"
"family","1","cow","top","436","o","105","filler"
"wood","1","stove","top","656","x","105","filler"
"horse","1","hooves","bottom","528","x","105","test"
"elephant","1","foot","bottom","529","o","105","test"
"bear","1","snout","top","576","x","105","test"
"winter","1","show","bottom","542","x","105","filler"
"ocean","1","surface","top","367","o","105","test"
"tree","1","roots","bottom","482","x","105","test"
"clock","0","radio","bottom","446","o","105","test"
"student","1","accusation","bottom","496","o","105","filler"
"olive","1","fertilizer","bottom","494","x","105","filler"
"clock","1","tower","top","682","x","105","test"
"corn","1","stalk","top","739","x","105","test"
"dog","1","paw","bottom","559","o","105","test"
"fruit","1","food","top","480","x","105","filler"
"mountain","0","peak","top","546","o","105","test"
"coal","0","town","top","486","x","105","filler"
"job","1","language","top","533","o","105","filler"
"plastic","1","shortage","bottom","351","x","105","filler"
"air","1","current","bottom","415","x","105","filler"
"wood","1","freshner","bottom","579","o","105","filler"
"bedroom","1","curtains","top","608","x","105","test"
"bicycle","1","seat","top","567","x","105","test"
"bottle","1","coaster","bottom","537","o","105","test"
"milk","1","virus","top","609","x","105","filler"
"rain","1","cloud","top","429","o","105","test"
"broom","1","handle","top","750","x","105","test"
"plastic","1","report","top","565","o","105","filler"
"honey","0","soup","top","419","x","105","filler"
"table","1","cloth","top","622","o","105","test"
"floor","1","lamp","top","435","o","105","test"
"bottle","1","cap","top","479","x","105","test"
"chocolate","1","powder","bottom","481","o","105","filler"
"coffee","1","stain","bottom","530","o","105","filler"
"shower","1","drain","bottom","595","x","105","test"
"hotel","1","roof","top","510","o","105","test"
"cactus","1","chipmunk","bottom","494","o","105","filler"
"street","1","light","top","384","o","105","test"
"bicycle","1","tire","bottom","396","o","105","test"
"rain","1","puddle","bottom","508","x","105","test"
"air","1","power","top","495","o","105","filler"
"moth","1","shape","top","613","x","105","filler"
"winter","1","book","top","482","o","105","filler"
"trouser","1","buckle","top","412","o","105","test"
"urban","1","riot","top","333","o","105","filler"
"ocean","1","floor","bottom","503","x","105","test"
"birth","1","cramp","bottom","424","x","105","filler"
"car","1","wheels","bottom","521","o","105","test"
"cane","1","juice","bottom","454","x","105","filler"
"cowboy","1","boot","bottom","506","o","105","test"
"car","1","windows","top","554","x","105","test"
"broom","1","bristles","bottom","552","o","105","test"
"cable","1","brake","top","582","x","105","filler"
"bird","1","eye","top","597","x","105","test"
"milk","1","bacterium","bottom","595","o","105","filler"
"oil","1","moisturizer","bottom","512","x","105","filler"
"coconut","1","milk","bottom","513","o","105","test"
"pine","1","bark","bottom","416","o","105","filler"
"church","1","pew","bottom","291","o","105","test"
"olive","1","season","top","483","o","105","filler"
"urban","0","tower","bottom","463","x","105","filler"
"floor","1","rug","bottom","527","x","105","test"
"family","1","garden","bottom","399","x","105","filler"
"cactus","1","bee","top","527","x","105","filler"
"honey","1","muffin","bottom","291","o","105","filler"
"shower","1","spout","top","482","o","105","test"
"oil","1","treatment","top","373","o","105","filler"
"grain","1","law","top","498","o","105","filler"
"flower","1","petal","top","390","o","105","test"
"fruit","1","slice","bottom","543","o","105","filler"
"tax","1","pressure","top","345","o","105","filler"
"pine","1","oil","top","589","x","105","filler"
"grain","1","controversy","bottom","474","x","105","filler"
"college","0","lake","top","520","o","105","filler"
"elephant","1","ear","top","409","x","105","test"
"nose","1","sound","top","536","x","105","filler"
"bedroom","1","carpet","bottom","530","o","105","test"
"cable","1","pulley","bottom","347","o","105","filler"
"steam","1","lock","top","394","o","105","filler"
"church","1","steeple","top","569","x","105","test"
"shoe","1","laces","top","541","o","105","test"
"job","1","competition","bottom","668","x","105","filler"
