"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"grain","1","controversy","bottom","414","x","107","filler"
"trouser","1","hem","bottom","646","x","107","test"
"urban","1","riot","top","610","o","107","filler"
"wood","1","freshner","bottom","601","o","107","filler"
"church","1","steeple","top","629","x","107","test"
"trouser","1","buckle","top","613","o","107","test"
"job","1","competition","bottom","516","x","107","filler"
"air","1","power","top","605","o","107","filler"
"horse","1","hooves","bottom","618","x","107","test"
"urban","1","tower","bottom","613","x","107","filler"
"coconut","1","tree","top","577","x","107","test"
"summer","1","clothes","bottom","661","x","107","filler"
"coffee","1","stain","bottom","617","o","107","filler"
"steam","1","lock","top","794","o","107","filler"
"sugar","1","extract","bottom","598","o","107","filler"
"cane","1","juice","bottom","661","x","107","filler"
"moth","1","wing","bottom","615","o","107","filler"
"shoe","1","soles","bottom","694","x","107","test"
"desk","1","drawer","bottom","635","o","107","test"
"bedroom","1","curtains","top","712","x","107","test"
"cane","1","sugar","top","596","o","107","filler"
"grain","1","law","top","669","o","107","filler"
"winter","1","book","top","565","o","107","filler"
"floor","1","lamp","top","495","o","107","test"
"honey","1","muffin","bottom","676","o","107","filler"
"clock","1","tower","top","787","x","107","test"
"plastic","1","shortage","bottom","720","x","107","filler"
"family","1","garden","bottom","508","x","107","filler"
"shower","1","spout","top","544","o","107","test"
"ocean","1","surface","top","526","o","107","test"
"tree","1","roots","bottom","522","x","107","test"
"corn","1","seed","bottom","577","o","107","test"
"pine","1","oil","top","660","x","107","filler"
"bedroom","1","carpet","bottom","670","o","107","test"
"student","1","accusation","bottom","577","o","107","filler"
"table","1","cloth","top","686","o","107","test"
"street","1","corner","bottom","542","x","107","test"
"fruit","1","food","top","1030","x","107","filler"
"water","1","algae","bottom","625","o","107","filler"
"college","1","property","bottom","732","x","107","filler"
"street","1","light","top","556","o","107","test"
"house","1","cellar","bottom","522","x","107","test"
"broom","1","handle","top","915","x","107","test"
"flower","1","petal","top","663","o","107","test"
"cable","1","pulley","bottom","572","o","107","filler"
"elephant","1","ear","top","934","x","107","test"
"nose","1","itch","bottom","659","o","107","filler"
"bird","1","talon","bottom","585","o","107","test"
"summer","1","money","top","573","o","107","filler"
"coconut","1","milk","bottom","536","o","107","test"
"mushroom","1","cap","top","629","o","107","test"
"water","1","bird","top","522","x","107","filler"
"oil","1","treatment","top","561","o","107","filler"
"rain","1","puddle","bottom","905","x","107","test"
"oil","1","moisturizer","bottom","457","x","107","filler"
"steam","1","turbine","bottom","487","x","107","filler"
"church","1","pew","bottom","572","o","107","test"
"mountain","1","peak","top","915","o","107","test"
"tree","1","leaves","top","529","o","107","test"
"desk","1","lamp","top","868","x","107","test"
"cable","1","brake","top","866","x","107","filler"
"hotel","1","lobby","bottom","653","x","107","test"
"cactus","1","bee","top","489","x","107","filler"
"rain","1","cloud","top","651","o","107","test"
"car","1","windows","top","633","x","107","test"
"olive","1","season","top","670","o","107","filler"
"ocean","1","floor","bottom","708","x","107","test"
"college","1","lake","top","598","o","107","filler"
"sugar","1","alcohol","top","819","x","107","filler"
"car","1","wheels","bottom","626","o","107","test"
"flower","1","stem","bottom","599","x","107","test"
"wood","1","stove","top","753","x","107","filler"
"house","1","attic","top","538","o","107","test"
"shoe","1","laces","top","602","o","107","test"
"floor","1","rug","bottom","470","x","107","test"
"shower","1","drain","bottom","495","x","107","test"
"tax","1","pressure","top","521","o","107","filler"
"dog","1","paw","bottom","797","o","107","test"
"broom","1","bristles","bottom","385","o","107","test"
"chocolate","1","shavings","top","449","x","107","filler"
"fruit","1","slice","bottom","527","o","107","filler"
"air","1","current","bottom","565","x","107","filler"
"coal","1","town","top","577","x","107","filler"
"dog","1","collar","top","573","x","107","test"
"chocolate","1","powder","bottom","628","o","107","filler"
"olive","1","fertilizer","bottom","880","x","107","filler"
"hotel","1","roof","top","459","o","107","test"
"pine","1","bark","bottom","702","o","107","filler"
"milk","1","virus","top","502","x","107","filler"
"coffee","1","tension","top","626","x","107","filler"
"plastic","1","report","top","438","o","107","filler"
"bird","1","eye","top","625","x","107","test"
"bear","1","snout","top","454","x","107","test"
"milk","1","bacterium","bottom","557","o","107","filler"
"job","1","language","top","620","o","107","filler"
"clock","1","radio","bottom","523","o","107","test"
"cactus","1","chipmunk","bottom","499","o","107","filler"
"bear","1","claw","bottom","560","o","107","test"
"elephant","1","foot","bottom","542","o","107","test"
"bicycle","1","tire","bottom","548","o","107","test"
"winter","1","show","bottom","540","x","107","filler"
"cowboy","1","boot","bottom","794","o","107","test"
"horse","1","mane","top","487","o","107","test"
"family","1","cow","top","470","o","107","filler"
"table","1","leg","bottom","561","x","107","test"
"bottle","1","coaster","bottom","592","o","107","test"
"corn","1","stalk","top","756","x","107","test"
"nose","1","sound","top","671","x","107","filler"
"honey","1","soup","top","435","x","107","filler"
"tax","1","wealth","bottom","463","x","107","filler"
"birth","1","rash","top","593","o","107","filler"
"mushroom","1","stalk","bottom","806","x","107","test"
"student","1","vote","top","634","x","107","filler"
"mountain","1","base","bottom","405","x","107","test"
"bicycle","1","seat","top","626","x","107","test"
"cowboy","1","hat","top","533","x","107","test"
"coal","1","country","bottom","535","o","107","filler"
"bottle","1","cap","top","551","x","107","test"
"moth","1","shape","top","483","x","107","filler"
"birth","1","cramp","bottom","531","x","107","filler"
