"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"milk","1","bacterium","bottom","670","o","109","filler"
"dog","1","collar","top","492","x","109","test"
"hotel","1","roof","top","551","o","109","test"
"corn","1","seed","bottom","583","o","109","test"
"fruit","1","food","top","570","x","109","filler"
"car","1","wheels","bottom","679","o","109","test"
"hotel","1","lobby","bottom","620","x","109","test"
"water","1","bird","top","649","x","109","filler"
"church","1","steeple","top","586","x","109","test"
"summer","1","money","top","404","o","109","filler"
"cane","1","juice","bottom","522","x","109","filler"
"grain","1","controversy","bottom","473","x","109","filler"
"cable","1","pulley","bottom","747","o","109","filler"
"sugar","1","extract","bottom","535","o","109","filler"
"horse","1","mane","top","462","o","109","test"
"elephant","1","ear","top","529","x","109","test"
"tree","1","roots","bottom","639","x","109","test"
"shower","1","spout","top","575","o","109","test"
"broom","1","bristles","bottom","608","o","109","test"
"fruit","1","slice","bottom","505","o","109","filler"
"trouser","1","buckle","top","503","o","109","test"
"bottle","1","coaster","bottom","376","o","109","test"
"ocean","1","floor","bottom","468","x","109","test"
"rain","1","cloud","top","428","o","109","test"
"corn","0","stalk","top","546","x","109","test"
"summer","1","clothes","bottom","538","x","109","filler"
"cane","1","sugar","top","529","o","109","filler"
"student","1","vote","top","637","x","109","filler"
"birth","1","cramp","bottom","531","x","109","filler"
"cowboy","1","boot","bottom","533","o","109","test"
"job","1","language","top","498","o","109","filler"
"plastic","1","report","top","614","o","109","filler"
"honey","1","muffin","bottom","636","o","109","filler"
"olive","1","season","top","567","o","109","filler"
"tax","1","wealth","bottom","669","x","109","filler"
"college","1","property","bottom","822","x","109","filler"
"tax","1","pressure","top","505","o","109","filler"
"bedroom","1","curtains","top","632","x","109","test"
"milk","1","virus","top","619","x","109","filler"
"mushroom","1","cap","top","494","o","109","test"
"mushroom","1","stalk","bottom","661","x","109","test"
"shower","1","drain","bottom","537","x","109","test"
"moth","0","wing","bottom","601","o","109","filler"
"flower","1","petal","top","510","o","109","test"
"olive","1","fertilizer","bottom","576","x","109","filler"
"clock","1","tower","top","713","x","109","test"
"cactus","1","chipmunk","bottom","539","o","109","filler"
"winter","1","show","bottom","510","x","109","filler"
"urban","1","tower","bottom","503","x","109","filler"
"honey","1","soup","top","570","x","109","filler"
"sugar","1","alcohol","top","486","x","109","filler"
"steam","1","lock","top","504","o","109","filler"
"floor","1","rug","bottom","633","x","109","test"
"bear","1","claw","bottom","619","o","109","test"
"air","1","current","bottom","482","x","109","filler"
"desk","1","drawer","bottom","579","o","109","test"
"broom","1","handle","top","620","x","109","test"
"oil","1","moisturizer","bottom","567","x","109","filler"
"air","1","power","top","558","o","109","filler"
"flower","1","stem","bottom","427","x","109","test"
"horse","1","hooves","bottom","471","x","109","test"
"bicycle","1","seat","top","569","x","109","test"
"rain","1","puddle","bottom","534","x","109","test"
"cable","1","brake","top","525","x","109","filler"
"pine","1","bark","bottom","554","o","109","filler"
"tree","1","leaves","top","545","o","109","test"
"chocolate","1","shavings","top","486","x","109","filler"
"student","1","accusation","bottom","583","o","109","filler"
"bicycle","0","tire","bottom","436","o","109","test"
"coconut","1","milk","bottom","527","o","109","test"
"dog","1","paw","bottom","549","o","109","test"
"ocean","1","surface","top","562","o","109","test"
"family","1","cow","top","444","o","109","filler"
"cowboy","1","hat","top","661","x","109","test"
"mountain","1","peak","top","529","o","109","test"
"shoe","1","laces","top","541","o","109","test"
"floor","1","lamp","top","428","o","109","test"
"car","1","windows","top","545","x","109","test"
"church","1","pew","bottom","702","o","109","test"
"house","1","attic","top","559","o","109","test"
"desk","1","lamp","top","475","x","109","test"
"cactus","1","bee","top","461","x","109","filler"
"pine","1","oil","top","498","x","109","filler"
"table","1","cloth","top","499","o","109","test"
"bottle","1","cap","top","483","x","109","test"
"water","1","algae","bottom","548","o","109","filler"
"urban","1","riot","top","514","o","109","filler"
"plastic","1","shortage","bottom","611","x","109","filler"
"wood","1","stove","top","528","x","109","filler"
"bear","1","snout","top","481","x","109","test"
"coal","1","town","top","513","x","109","filler"
"trouser","1","hem","bottom","608","x","109","test"
"grain","1","law","top","499","o","109","filler"
"birth","1","rash","top","526","o","109","filler"
"coffee","1","tension","top","593","x","109","filler"
"college","1","lake","top","565","o","109","filler"
"job","1","competition","bottom","511","x","109","filler"
"bedroom","1","carpet","bottom","585","o","109","test"
"oil","1","treatment","top","637","o","109","filler"
"chocolate","1","powder","bottom","718","o","109","filler"
"coconut","1","tree","top","544","x","109","test"
"family","1","garden","bottom","576","x","109","filler"
"bird","1","eye","top","707","x","109","test"
"bird","1","talon","bottom","589","o","109","test"
"nose","1","sound","top","534","x","109","filler"
"street","1","corner","bottom","548","x","109","test"
"winter","1","book","top","615","o","109","filler"
"nose","1","itch","bottom","584","o","109","filler"
"mountain","1","base","bottom","543","x","109","test"
"house","1","cellar","bottom","480","x","109","test"
"shoe","1","soles","bottom","401","x","109","test"
"steam","1","turbine","bottom","342","x","109","filler"
"street","1","light","top","390","o","109","test"
"wood","0","freshner","bottom","451","o","109","filler"
"elephant","1","foot","bottom","564","o","109","test"
"clock","1","radio","bottom","450","o","109","test"
"coal","1","country","bottom","426","o","109","filler"
"table","1","leg","bottom","545","x","109","test"
"coffee","1","stain","bottom","606","o","109","filler"
"moth","1","shape","top","517","x","109","filler"
