"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"elephant","1","foot","bottom","494","o","103","test"
"house","1","attic","top","454","o","103","test"
"tree","1","roots","bottom","425","x","103","test"
"dog","1","paw","bottom","331","o","103","test"
"wood","1","freshner","bottom","364","o","103","filler"
"fruit","1","slice","bottom","293","o","103","filler"
"college","1","lake","top","360","o","103","filler"
"elephant","1","ear","top","311","x","103","test"
"bottle","1","coaster","bottom","456","o","103","test"
"church","0","steeple","top","343","x","103","test"
"oil","1","moisturizer","bottom","426","x","103","filler"
"car","1","windows","top","394","x","103","test"
"wood","1","stove","top","341","x","103","filler"
"flower","1","petal","top","376","o","103","test"
"pine","0","bark","bottom","508","o","103","filler"
"bird","1","talon","bottom","9","o","103","test"
"bedroom","0","curtains","top","2","x","103","test"
"cane","1","sugar","top","489","o","103","filler"
"family","1","garden","bottom","382","x","103","filler"
"pine","1","oil","top","488","x","103","filler"
"summer","1","clothes","bottom","537","x","103","filler"
"shoe","1","laces","top","359","o","103","test"
"plastic","1","shortage","bottom","533","x","103","filler"
"cactus","1","bee","top","426","x","103","filler"
"chocolate","1","shavings","top","466","x","103","filler"
"tax","0","wealth","bottom","400","x","103","filler"
"moth","1","wing","bottom","275","o","103","filler"
"summer","1","money","top","349","o","103","filler"
"moth","1","shape","top","626","x","103","filler"
"bottle","1","cap","top","299","x","103","test"
"rain","1","cloud","top","408","o","103","test"
"olive","1","season","top","360","o","103","filler"
"urban","1","tower","bottom","375","x","103","filler"
"honey","1","muffin","bottom","472","o","103","filler"
"job","1","language","top","379","o","103","filler"
"horse","1","mane","top","331","o","103","test"
"plastic","1","report","top","278","o","103","filler"
"nose","1","itch","bottom","417","o","103","filler"
"nose","1","sound","top","439","x","103","filler"
"winter","0","book","top","376","o","103","filler"
"family","1","cow","top","417","o","103","filler"
"street","1","corner","bottom","411","x","103","test"
"honey","1","soup","top","558","x","103","filler"
"cowboy","1","hat","top","446","x","103","test"
"clock","1","radio","bottom","401","o","103","test"
"flower","1","stem","bottom","454","x","103","test"
"student","1","vote","top","436","x","103","filler"
"grain","1","law","top","391","o","103","filler"
"floor","1","rug","bottom","453","x","103","test"
"desk","1","lamp","top","413","x","103","test"
"shower","1","drain","bottom","407","x","103","test"
"hotel","1","lobby","bottom","316","x","103","test"
"mountain","1","peak","top","381","o","103","test"
"broom","1","bristles","bottom","438","o","103","test"
"coffee","1","stain","bottom","401","o","103","filler"
"milk","1","virus","top","485","x","103","filler"
"cowboy","1","boot","bottom","443","o","103","test"
"house","1","cellar","bottom","449","x","103","test"
"college","1","property","bottom","420","x","103","filler"
"dog","1","collar","top","489","x","103","test"
"bicycle","0","seat","top","185","x","103","test"
"air","1","power","top","247","o","103","filler"
"oil","1","treatment","top","329","o","103","filler"
"winter","1","show","bottom","424","x","103","filler"
"trouser","1","buckle","top","371","o","103","test"
"desk","1","drawer","bottom","362","o","103","test"
"cable","1","brake","top","375","x","103","filler"
"tree","1","leaves","top","379","o","103","test"
"broom","1","handle","top","377","x","103","test"
"car","1","wheels","bottom","471","o","103","test"
"student","1","accusation","bottom","456","o","103","filler"
"birth","1","rash","top","331","o","103","filler"
"mountain","1","base","bottom","535","x","103","test"
"bedroom","1","carpet","bottom","397","o","103","test"
"chocolate","1","powder","bottom","460","o","103","filler"
"hotel","1","roof","top","365","o","103","test"
"table","1","leg","bottom","371","x","103","test"
"coal","1","town","top","441","x","103","filler"
"trouser","1","hem","bottom","421","x","103","test"
"bicycle","1","tire","bottom","357","o","103","test"
"table","1","cloth","top","341","o","103","test"
"birth","1","cramp","bottom","401","x","103","filler"
"job","1","competition","bottom","433","x","103","filler"
"tax","1","pressure","top","425","o","103","filler"
"floor","1","lamp","top","483","o","103","test"
"ocean","1","floor","bottom","445","x","103","test"
"cable","1","pulley","bottom","447","o","103","filler"
"bird","1","eye","top","421","x","103","test"
"air","0","current","bottom","448","x","103","filler"
"water","1","algae","bottom","285","o","103","filler"
"cactus","1","chipmunk","bottom","324","o","103","filler"
"mushroom","1","cap","top","354","o","103","test"
"grain","1","controversy","bottom","271","x","103","filler"
"sugar","1","alcohol","top","307","x","103","filler"
"steam","1","lock","top","337","o","103","filler"
"milk","0","bacterium","bottom","384","o","103","filler"
"sugar","1","extract","bottom","493","o","103","filler"
"church","1","pew","bottom","349","o","103","test"
"coffee","1","tension","top","445","x","103","filler"
"coconut","1","milk","bottom","521","o","103","test"
"bear","1","snout","top","400","x","103","test"
"bear","1","claw","bottom","564","o","103","test"
"water","1","bird","top","482","x","103","filler"
"ocean","1","surface","top","395","o","103","test"
"coal","1","country","bottom","355","o","103","filler"
"shoe","1","soles","bottom","441","x","103","test"
"clock","1","tower","top","354","x","103","test"
"corn","1","stalk","top","319","x","103","test"
"corn","1","seed","bottom","526","o","103","test"
"urban","1","riot","top","336","o","103","filler"
"rain","1","puddle","bottom","383","x","103","test"
"steam","1","turbine","bottom","341","x","103","filler"
"cane","1","juice","bottom","307","x","103","filler"
"mushroom","1","stalk","bottom","353","x","103","test"
"olive","1","fertilizer","bottom","355","x","103","filler"
"coconut","1","tree","top","481","x","103","test"
"street","1","light","top","257","o","103","test"
"fruit","0","food","top","294","x","103","filler"
"horse","0","hooves","bottom","406","x","103","test"
"shower","1","spout","top","543","o","103","test"
