"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"bottle","1","coaster","bottom","591","o","110","test"
"oil","1","moisturizer","bottom","611","x","110","filler"
"clock","1","tower","top","601","x","110","test"
"moth","1","shape","top","599","x","110","filler"
"hotel","1","roof","top","495","o","110","test"
"corn","1","stalk","top","482","x","110","test"
"tree","1","leaves","top","550","o","110","test"
"trouser","1","hem","bottom","462","x","110","test"
"air","1","power","top","434","o","110","filler"
"bird","1","talon","bottom","550","o","110","test"
"rain","1","cloud","top","402","o","110","test"
"elephant","1","ear","top","525","x","110","test"
"car","1","windows","top","400","x","110","test"
"mountain","1","base","bottom","498","x","110","test"
"coffee","1","tension","top","468","x","110","filler"
"winter","1","show","bottom","492","x","110","filler"
"honey","0","muffin","bottom","368","o","110","filler"
"cable","1","pulley","bottom","591","o","110","filler"
"ocean","1","surface","top","613","o","110","test"
"plastic","1","report","top","474","o","110","filler"
"elephant","1","foot","bottom","607","o","110","test"
"horse","1","hooves","bottom","605","x","110","test"
"plastic","1","shortage","bottom","547","x","110","filler"
"cowboy","1","boot","bottom","571","o","110","test"
"floor","1","lamp","top","454","o","110","test"
"shower","1","drain","bottom","396","x","110","test"
"bicycle","1","tire","bottom","466","o","110","test"
"broom","1","handle","top","523","x","110","test"
"cane","1","sugar","top","467","o","110","filler"
"rain","1","puddle","bottom","282","x","110","test"
"student","1","accusation","bottom","572","o","110","filler"
"mushroom","1","cap","top","391","o","110","test"
"cactus","1","chipmunk","bottom","465","o","110","filler"
"shoe","1","soles","bottom","518","x","110","test"
"water","1","bird","top","565","x","110","filler"
"college","1","property","bottom","539","x","110","filler"
"church","1","pew","bottom","739","o","110","test"
"nose","1","itch","bottom","483","o","110","filler"
"summer","1","clothes","bottom","450","x","110","filler"
"house","1","attic","top","502","o","110","test"
"air","1","current","bottom","559","x","110","filler"
"grain","1","law","top","403","o","110","filler"
"horse","1","mane","top","433","o","110","test"
"pine","0","bark","bottom","341","o","110","filler"
"olive","1","season","top","581","o","110","filler"
"summer","1","money","top","449","o","110","filler"
"bicycle","1","seat","top","597","x","110","test"
"tax","1","pressure","top","480","o","110","filler"
"flower","1","petal","top","351","o","110","test"
"family","1","cow","top","415","o","110","filler"
"bear","0","snout","top","564","x","110","test"
"steam","1","lock","top","594","o","110","filler"
"wood","1","freshner","bottom","569","o","110","filler"
"street","1","corner","bottom","559","x","110","test"
"urban","1","tower","bottom","421","x","110","filler"
"coconut","1","tree","top","636","x","110","test"
"moth","1","wing","bottom","420","o","110","filler"
"floor","1","rug","bottom","326","x","110","test"
"milk","1","bacterium","bottom","398","o","110","filler"
"water","1","algae","bottom","393","o","110","filler"
"honey","0","soup","top","376","x","110","filler"
"table","1","cloth","top","636","o","110","test"
"coal","0","town","top","384","x","110","filler"
"dog","1","collar","top","593","x","110","test"
"dog","1","paw","bottom","464","o","110","test"
"wood","1","stove","top","580","x","110","filler"
"college","1","lake","top","305","o","110","filler"
"hotel","1","lobby","bottom","413","x","110","test"
"street","1","light","top","326","o","110","test"
"tax","1","wealth","bottom","343","x","110","filler"
"coconut","1","milk","bottom","444","o","110","test"
"nose","1","sound","top","430","x","110","filler"
"coal","1","country","bottom","386","o","110","filler"
"student","1","vote","top","440","x","110","filler"
"chocolate","1","shavings","top","465","x","110","filler"
"cactus","1","bee","top","390","x","110","filler"
"mushroom","1","stalk","bottom","432","x","110","test"
"family","1","garden","bottom","411","x","110","filler"
"sugar","1","extract","bottom","569","o","110","filler"
"sugar","1","alcohol","top","677","x","110","filler"
"broom","1","bristles","bottom","561","o","110","test"
"birth","1","cramp","bottom","622","x","110","filler"
"olive","1","fertilizer","bottom","697","x","110","filler"
"tree","1","roots","bottom","580","x","110","test"
"chocolate","1","powder","bottom","525","o","110","filler"
"winter","1","book","top","608","o","110","filler"
"desk","1","drawer","bottom","668","o","110","test"
"shoe","1","laces","top","964","o","110","test"
"trouser","1","buckle","top","374","o","110","test"
"house","1","cellar","bottom","591","x","110","test"
"fruit","0","food","top","354","x","110","filler"
"bedroom","1","carpet","bottom","595","o","110","test"
"birth","1","rash","top","682","o","110","filler"
"bird","1","eye","top","500","x","110","test"
"mountain","1","peak","top","842","o","110","test"
"urban","1","riot","top","384","o","110","filler"
"coffee","0","stain","bottom","383","o","110","filler"
"cowboy","1","hat","top","843","x","110","test"
"corn","1","seed","bottom","547","o","110","test"
"table","1","leg","bottom","563","x","110","test"
"bear","1","claw","bottom","478","o","110","test"
"car","1","wheels","bottom","470","o","110","test"
"desk","1","lamp","top","537","x","110","test"
"fruit","1","slice","bottom","599","o","110","filler"
"bottle","1","cap","top","652","x","110","test"
"job","1","language","top","376","o","110","filler"
"clock","1","radio","bottom","1179","o","110","test"
"flower","1","stem","bottom","479","x","110","test"
"milk","0","virus","top","423","x","110","filler"
"cable","1","brake","top","554","x","110","filler"
"pine","1","oil","top","475","x","110","filler"
"ocean","1","floor","bottom","479","x","110","test"
"job","1","competition","bottom","332","x","110","filler"
"church","1","steeple","top","523","x","110","test"
"steam","1","turbine","bottom","379","x","110","filler"
"oil","1","treatment","top","411","o","110","filler"
"cane","1","juice","bottom","398","x","110","filler"
"shower","1","spout","top","361","o","110","test"
"bedroom","0","curtains","top","359","x","110","test"
"grain","1","controversy","bottom","467","x","110","filler"
