"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"cane","1","sugar","top","397","o","106","filler"
"desk","1","lamp","top","511","x","106","test"
"water","1","algae","bottom","430","o","106","filler"
"cactus","1","bee","top","453","x","106","filler"
"coffee","1","tension","top","473","x","106","filler"
"cane","0","juice","bottom","415","x","106","filler"
"trouser","1","hem","bottom","453","x","106","test"
"olive","1","fertilizer","bottom","444","x","106","filler"
"cactus","1","chipmunk","bottom","433","o","106","filler"
"corn","1","seed","bottom","448","o","106","test"
"urban","1","tower","bottom","464","x","106","filler"
"cable","1","brake","top","482","x","106","filler"
"cowboy","1","boot","bottom","428","o","106","test"
"elephant","1","foot","bottom","479","o","106","test"
"hotel","1","lobby","bottom","560","x","106","test"
"birth","1","rash","top","428","o","106","filler"
"shoe","1","laces","top","468","o","106","test"
"bedroom","0","carpet","bottom","465","o","106","test"
"clock","1","tower","top","636","x","106","test"
"bicycle","1","tire","bottom","528","o","106","test"
"nose","1","itch","bottom","413","o","106","filler"
"tree","1","leaves","top","446","o","106","test"
"bear","1","claw","bottom","398","o","106","test"
"car","1","wheels","bottom","445","o","106","test"
"street","1","corner","bottom","474","x","106","test"
"flower","1","petal","top","497","o","106","test"
"hotel","1","roof","top","443","o","106","test"
"floor","1","lamp","top","383","o","106","test"
"coconut","1","tree","top","563","x","106","test"
"cable","1","pulley","bottom","518","o","106","filler"
"rain","1","puddle","bottom","552","x","106","test"
"floor","1","rug","bottom","531","x","106","test"
"corn","1","stalk","top","482","x","106","test"
"olive","1","season","top","738","o","106","filler"
"job","1","language","top","360","o","106","filler"
"mushroom","1","cap","top","426","o","106","test"
"shower","1","drain","bottom","441","x","106","test"
"moth","1","shape","top","518","x","106","filler"
"sugar","1","alcohol","top","401","x","106","filler"
"tax","1","pressure","top","373","o","106","filler"
"tree","1","roots","bottom","401","x","106","test"
"bottle","1","coaster","bottom","406","o","106","test"
"shoe","1","soles","bottom","576","x","106","test"
"steam","1","turbine","bottom","451","x","106","filler"
"cowboy","0","hat","top","448","x","106","test"
"tax","1","wealth","bottom","466","x","106","filler"
"pine","1","bark","bottom","645","o","106","filler"
"clock","1","radio","bottom","525","o","106","test"
"summer","1","money","top","575","o","106","filler"
"bicycle","1","seat","top","482","x","106","test"
"water","1","bird","top","461","x","106","filler"
"student","1","accusation","bottom","654","o","106","filler"
"coal","1","town","top","440","x","106","filler"
"car","1","windows","top","478","x","106","test"
"church","1","pew","bottom","531","o","106","test"
"coffee","1","stain","bottom","374","o","106","filler"
"air","1","current","bottom","507","x","106","filler"
"desk","0","drawer","bottom","402","o","106","test"
"table","1","leg","bottom","431","x","106","test"
"mountain","1","base","bottom","434","x","106","test"
"honey","1","soup","top","495","x","106","filler"
"family","1","garden","bottom","487","x","106","filler"
"bedroom","1","curtains","top","463","x","106","test"
"bird","1","eye","top","433","x","106","test"
"job","1","competition","bottom","513","x","106","filler"
"horse","1","mane","top","454","o","106","test"
"sugar","1","extract","bottom","510","o","106","filler"
"wood","1","freshner","bottom","510","o","106","filler"
"fruit","1","food","top","477","x","106","filler"
"pine","1","oil","top","468","x","106","filler"
"church","1","steeple","top","467","x","106","test"
"college","1","lake","top","483","o","106","filler"
"student","1","vote","top","476","x","106","filler"
"oil","1","moisturizer","bottom","495","x","106","filler"
"chocolate","1","shavings","top","384","x","106","filler"
"ocean","0","surface","top","465","o","106","test"
"broom","1","handle","top","560","x","106","test"
"bear","1","snout","top","468","x","106","test"
"college","1","property","bottom","686","x","106","filler"
"milk","1","virus","top","471","x","106","filler"
"flower","1","stem","bottom","516","x","106","test"
"ocean","1","floor","bottom","448","x","106","test"
"nose","1","sound","top","469","x","106","filler"
"steam","1","lock","top","455","o","106","filler"
"fruit","1","slice","bottom","398","o","106","filler"
"mushroom","1","stalk","bottom","595","x","106","test"
"milk","1","bacterium","bottom","514","o","106","filler"
"shower","1","spout","top","435","o","106","test"
"coconut","1","milk","bottom","503","o","106","test"
"street","1","light","top","433","o","106","test"
"dog","1","collar","top","441","x","106","test"
"dog","1","paw","bottom","501","o","106","test"
"grain","1","law","top","427","o","106","filler"
"elephant","1","ear","top","551","x","106","test"
"plastic","1","shortage","bottom","524","x","106","filler"
"house","1","attic","top","373","o","106","test"
"table","1","cloth","top","438","o","106","test"
"mountain","1","peak","top","391","o","106","test"
"broom","1","bristles","bottom","453","o","106","test"
"house","1","cellar","bottom","407","x","106","test"
"winter","1","show","bottom","529","x","106","filler"
"bottle","1","cap","top","530","x","106","test"
"urban","0","riot","top","388","o","106","filler"
"moth","1","wing","bottom","416","o","106","filler"
"family","1","cow","top","420","o","106","filler"
"plastic","1","report","top","329","o","106","filler"
"air","1","power","top","358","o","106","filler"
"birth","1","cramp","bottom","514","x","106","filler"
"summer","1","clothes","bottom","484","x","106","filler"
"bird","1","talon","bottom","471","o","106","test"
"trouser","1","buckle","top","430","o","106","test"
"horse","1","hooves","bottom","481","x","106","test"
"chocolate","1","powder","bottom","396","o","106","filler"
"grain","1","controversy","bottom","514","x","106","filler"
"wood","1","stove","top","545","x","106","filler"
"rain","1","cloud","top","495","o","106","test"
"winter","1","book","top","353","o","106","filler"
"coal","1","country","bottom","481","o","106","filler"
"oil","1","treatment","top","413","o","106","filler"
"honey","1","muffin","bottom","402","o","106","filler"
