"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"bear","1","claw","bottom","703","o","132","test","bottom"
"coconut","1","tree","top","367","x","132","test","top"
"shoe","1","laces","bottom","426","o","132","test","top"
"car","1","wheels","bottom","609","o","132","test","bottom"
"bear","1","snout","top","713","x","132","test","top"
"birth","1","rash","top","729","o","132","filler","filler"
"sugar","1","extract","bottom","549","o","132","filler","filler"
"bottle","1","coaster","bottom","560","o","132","test","bottom"
"trouser","1","buckle","bottom","513","o","132","test","top"
"broom","1","handle","top","449","x","132","test","top"
"tax","1","wealth","bottom","654","x","132","filler","filler"
"cane","1","juice","bottom","528","x","132","filler","filler"
"horse","1","hooves","top","572","x","132","test","bottom"
"dog","1","paw","bottom","467","o","132","test","bottom"
"pine","1","bark","bottom","527","o","132","filler","filler"
"bird","1","talon","bottom","349","o","132","test","bottom"
"cactus","1","chipmunk","bottom","436","o","132","filler","filler"
"family","1","garden","bottom","540","x","132","filler","filler"
"sugar","1","alcohol","top","605","x","132","filler","filler"
"coal","1","country","bottom","429","o","132","filler","filler"
"cane","1","sugar","top","608","o","132","filler","filler"
"olive","1","fertilizer","bottom","430","x","132","filler","filler"
"winter","1","book","top","479","o","132","filler","filler"
"floor","1","lamp","bottom","572","o","132","test","top"
"fruit","1","slice","bottom","573","o","132","filler","filler"
"winter","1","show","bottom","635","x","132","filler","filler"
"nose","1","itch","bottom","459","o","132","filler","filler"
"honey","1","soup","top","570","x","132","filler","filler"
"floor","1","rug","top","573","x","132","test","bottom"
"oil","1","moisturizer","bottom","527","x","132","filler","filler"
"shower","1","drain","top","589","x","132","test","bottom"
"milk","1","bacterium","bottom","432","o","132","filler","filler"
"rain","1","puddle","top","449","x","132","test","bottom"
"table","1","leg","top","557","x","132","test","bottom"
"fruit","1","food","top","535","x","132","filler","filler"
"student","1","accusation","bottom","523","o","132","filler","filler"
"desk","1","drawer","bottom","578","o","132","test","bottom"
"tree","1","roots","top","556","x","132","test","bottom"
"summer","1","money","top","594","o","132","filler","filler"
"trouser","1","hem","top","514","x","132","test","bottom"
"wood","1","freshner","bottom","499","o","132","filler","filler"
"pine","1","oil","top","580","x","132","filler","filler"
"grain","1","controversy","bottom","498","x","132","filler","filler"
"job","1","competition","bottom","529","x","132","filler","filler"
"cowboy","1","hat","top","641","x","132","test","top"
"urban","1","riot","top","614","o","132","filler","filler"
"dog","1","collar","top","472","x","132","test","top"
"car","1","windows","top","459","x","132","test","top"
"cable","1","pulley","bottom","571","o","132","filler","filler"
"shower","1","spout","bottom","600","o","132","test","top"
"corn","1","stalk","top","642","x","132","test","top"
"hotel","1","roof","bottom","433","o","132","test","top"
"moth","1","wing","bottom","554","o","132","filler","filler"
"honey","1","muffin","bottom","491","o","132","filler","filler"
"college","1","lake","top","650","o","132","filler","filler"
"grain","1","law","top","601","o","132","filler","filler"
"student","1","vote","top","690","x","132","filler","filler"
"clock","1","radio","bottom","563","o","132","test","bottom"
"bottle","1","cap","top","450","x","132","test","top"
"rain","1","cloud","bottom","294","o","132","test","top"
"elephant","1","foot","bottom","493","o","132","test","bottom"
"birth","0","cramp","bottom","3","x","132","filler","filler"
"coffee","1","tension","top","361","x","132","filler","filler"
"cowboy","1","boot","bottom","466","o","132","test","bottom"
"street","1","light","bottom","465","o","132","test","top"
