"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"steam","0","lock","top","4","o","130","filler","filler"
"dog","1","paw","bottom","378","o","130","test","bottom"
"dog","1","collar","top","318","x","130","test","top"
"chocolate","1","powder","bottom","338","o","130","filler","filler"
"nose","1","itch","bottom","427","o","130","filler","filler"
"desk","1","lamp","top","398","x","130","test","top"
"hotel","1","lobby","top","432","x","130","test","bottom"
"birth","1","cramp","bottom","436","x","130","filler","filler"
"shower","1","drain","top","367","x","130","test","bottom"
"tree","1","leaves","bottom","399","o","130","test","top"
"tax","1","wealth","bottom","418","x","130","filler","filler"
"cactus","1","chipmunk","bottom","493","o","130","filler","filler"
"wood","1","freshner","bottom","538","o","130","filler","filler"
"oil","1","treatment","top","444","o","130","filler","filler"
"olive","1","fertilizer","bottom","407","x","130","filler","filler"
"wood","0","stove","top","439","x","130","filler","filler"
"trouser","1","hem","top","438","x","130","test","bottom"
"clock","1","tower","top","469","x","130","test","top"
"nose","1","sound","top","378","x","130","filler","filler"
"floor","1","lamp","bottom","425","o","130","test","top"
"water","1","bird","top","445","x","130","filler","filler"
"oil","1","moisturizer","bottom","354","x","130","filler","filler"
"elephant","1","ear","top","398","x","130","test","top"
"job","1","language","top","470","o","130","filler","filler"
"bottle","1","cap","top","546","x","130","test","top"
"grain","1","law","top","383","o","130","filler","filler"
"mushroom","1","stalk","top","457","x","130","test","bottom"
"pine","1","oil","top","391","x","130","filler","filler"
"steam","1","turbine","bottom","402","x","130","filler","filler"
"cactus","1","bee","top","403","x","130","filler","filler"
"desk","1","drawer","bottom","423","o","130","test","bottom"
"cowboy","1","hat","top","459","x","130","test","top"
"bedroom","1","curtains","top","447","x","130","test","top"
"birth","1","rash","top","434","o","130","filler","filler"
"broom","1","handle","top","333","x","130","test","top"
"honey","1","soup","top","325","x","130","filler","filler"
"rain","1","cloud","bottom","396","o","130","test","top"
"bedroom","1","carpet","bottom","393","o","130","test","bottom"
"plastic","0","report","top","282","o","130","filler","filler"
"college","0","property","bottom","507","x","130","filler","filler"
"mushroom","1","cap","bottom","621","o","130","test","top"
"mountain","1","base","top","468","x","130","test","bottom"
"bird","1","talon","bottom","613","o","130","test","bottom"
"coconut","1","milk","bottom","433","o","130","test","bottom"
"fruit","1","slice","bottom","485","o","130","filler","filler"
"coconut","1","tree","top","669","x","130","test","top"
"bicycle","1","seat","top","480","x","130","test","top"
"air","1","current","bottom","478","x","130","filler","filler"
"church","1","pew","bottom","500","o","130","test","bottom"
"coffee","1","stain","bottom","467","o","130","filler","filler"
"college","1","lake","top","550","o","130","filler","filler"
"house","1","attic","bottom","481","o","130","test","top"
"floor","1","rug","top","366","x","130","test","bottom"
"flower","1","petal","bottom","416","o","130","test","top"
"summer","1","clothes","bottom","413","x","130","filler","filler"
"cable","1","brake","top","486","x","130","filler","filler"
"tree","0","roots","top","561","x","130","test","bottom"
"shower","1","spout","bottom","435","o","130","test","top"
"urban","1","tower","bottom","493","x","130","filler","filler"
"elephant","1","foot","bottom","556","o","130","test","bottom"
"tax","1","pressure","top","549","o","130","filler","filler"
"flower","1","stem","top","481","x","130","test","bottom"
"plastic","1","shortage","bottom","532","x","130","filler","filler"
"ocean","1","surface","bottom","484","o","130","test","top"
"chocolate","1","shavings","top","445","x","130","filler","filler"
"moth","1","wing","bottom","481","o","130","filler","filler"
"cane","1","sugar","top","525","o","130","filler","filler"
"milk","1","bacterium","bottom","441","o","130","filler","filler"
"milk","1","virus","top","482","x","130","filler","filler"
"winter","1","show","bottom","421","x","130","filler","filler"
