"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"bear","1","claw","bottom","461","o","128","test","bottom"
"urban","1","tower","bottom","483","x","128","filler","filler"
"house","1","attic","bottom","382","o","128","test","top"
"summer","1","clothes","bottom","509","x","128","filler","filler"
"family","1","cow","top","732","o","128","filler","filler"
"birth","1","cramp","bottom","473","x","128","filler","filler"
"bicycle","1","tire","bottom","511","o","128","test","bottom"
"moth","1","wing","bottom","481","o","128","filler","filler"
"horse","1","mane","bottom","403","o","128","test","top"
"mushroom","1","cap","bottom","366","o","128","test","top"
"bottle","1","coaster","bottom","357","o","128","test","bottom"
"car","1","windows","top","498","x","128","test","top"
"honey","1","soup","top","467","x","128","filler","filler"
"wood","1","stove","top","302","x","128","filler","filler"
"clock","1","radio","bottom","540","o","128","test","bottom"
"flower","1","stem","top","508","x","128","test","bottom"
"table","1","cloth","bottom","395","o","128","test","top"
"grain","1","controversy","bottom","446","x","128","filler","filler"
"bottle","1","cap","top","613","x","128","test","top"
"ocean","1","floor","top","412","x","128","test","bottom"
"job","1","language","top","356","o","128","filler","filler"
"flower","1","petal","bottom","607","o","128","test","top"
"chocolate","1","shavings","top","477","x","128","filler","filler"
"nose","1","itch","bottom","603","o","128","filler","filler"
"water","1","bird","top","407","x","128","filler","filler"
"rain","1","puddle","top","462","x","128","test","bottom"
"elephant","1","ear","top","403","x","128","test","top"
"job","1","competition","bottom","587","x","128","filler","filler"
"sugar","1","alcohol","top","623","x","128","filler","filler"
"nose","1","sound","top","362","x","128","filler","filler"
"fruit","1","slice","bottom","490","o","128","filler","filler"
"trouser","1","hem","top","544","x","128","test","bottom"
"tree","1","roots","top","381","x","128","test","bottom"
"winter","1","show","bottom","514","x","128","filler","filler"
"air","1","current","bottom","387","x","128","filler","filler"
"cable","1","brake","top","401","x","128","filler","filler"
"milk","1","bacterium","bottom","484","o","128","filler","filler"
"cowboy","1","boot","bottom","444","o","128","test","bottom"
"street","1","corner","top","450","x","128","test","bottom"
"mountain","1","base","top","430","x","128","test","bottom"
"summer","1","money","top","573","o","128","filler","filler"
"elephant","1","foot","bottom","557","o","128","test","bottom"
"shoe","1","soles","top","408","x","128","test","bottom"
"clock","0","tower","top","475","x","128","test","top"
"dog","1","collar","top","574","x","128","test","top"
"corn","1","seed","bottom","646","o","128","test","bottom"
"shower","1","spout","bottom","368","o","128","test","top"
"sugar","1","extract","bottom","447","o","128","filler","filler"
"birth","1","rash","top","584","o","128","filler","filler"
"olive","1","season","top","302","o","128","filler","filler"
"shower","1","drain","top","383","x","128","test","bottom"
"pine","1","oil","top","378","x","128","filler","filler"
"cane","1","sugar","top","394","o","128","filler","filler"
"mountain","1","peak","bottom","659","o","128","test","top"
