"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"plastic","1","report","top","496","o","115","filler","filler"
"shoe","0","laces","bottom","333","o","115","test","top"
"house","1","attic","bottom","585","o","115","test","top"
"coal","1","country","bottom","371","o","115","filler","filler"
"fruit","1","slice","bottom","448","o","115","filler","filler"
"honey","1","soup","top","445","x","115","filler","filler"
"moth","1","shape","top","606","x","115","filler","filler"
"ocean","1","surface","bottom","483","o","115","test","top"
"summer","1","money","top","423","o","115","filler","filler"
"house","1","cellar","top","593","x","115","test","bottom"
"honey","1","muffin","bottom","540","o","115","filler","filler"
"table","1","leg","top","347","x","115","test","bottom"
"water","1","algae","bottom","468","o","115","filler","filler"
"oil","1","treatment","top","527","o","115","filler","filler"
"student","0","vote","top","450","x","115","filler","filler"
"birth","1","cramp","bottom","527","x","115","filler","filler"
"mushroom","1","cap","bottom","605","o","115","test","top"
"cane","1","sugar","top","560","o","115","filler","filler"
"moth","1","wing","bottom","394","o","115","filler","filler"
"cowboy","1","boot","bottom","430","o","115","test","bottom"
"grain","1","controversy","bottom","472","x","115","filler","filler"
"table","1","cloth","bottom","439","o","115","test","top"
"olive","1","fertilizer","bottom","538","x","115","filler","filler"
"milk","1","bacterium","bottom","484","o","115","filler","filler"
"desk","1","lamp","top","689","x","115","test","top"
"coffee","1","tension","top","498","x","115","filler","filler"
"bicycle","1","seat","top","515","x","115","test","top"
"bear","1","claw","bottom","463","o","115","test","bottom"
"nose","1","itch","bottom","532","o","115","filler","filler"
"urban","1","riot","top","399","o","115","filler","filler"
"steam","1","turbine","bottom","364","x","115","filler","filler"
"rain","0","cloud","bottom","478","o","115","test","top"
"clock","1","tower","top","527","x","115","test","top"
"coconut","1","tree","top","476","x","115","test","top"
"oil","1","moisturizer","bottom","495","x","115","filler","filler"
"shoe","1","soles","top","546","x","115","test","bottom"
"air","1","current","bottom","528","x","115","filler","filler"
"tax","1","wealth","bottom","477","x","115","filler","filler"
"chocolate","1","shavings","top","448","x","115","filler","filler"
"hotel","1","roof","bottom","531","o","115","test","top"
"clock","1","radio","bottom","501","o","115","test","bottom"
"coffee","1","stain","bottom","484","o","115","filler","filler"
"wood","1","stove","top","483","x","115","filler","filler"
"bottle","0","coaster","bottom","462","o","115","test","bottom"
"family","1","cow","top","613","o","115","filler","filler"
"bottle","1","cap","top","637","x","115","test","top"
"pine","1","bark","bottom","678","o","115","filler","filler"
"coal","1","town","top","646","x","115","filler","filler"
"college","1","property","bottom","441","x","115","filler","filler"
"olive","1","season","top","508","o","115","filler","filler"
"flower","1","petal","bottom","477","o","115","test","top"
"bicycle","1","tire","bottom","495","o","115","test","bottom"
"tree","1","roots","top","462","x","115","test","bottom"
"ocean","1","floor","top","705","x","115","test","bottom"
"family","1","garden","bottom","525","x","115","filler","filler"
"cowboy","1","hat","top","542","x","115","test","top"
"broom","1","bristles","bottom","576","o","115","test","bottom"
"desk","1","drawer","bottom","526","o","115","test","bottom"
"fruit","1","food","top","492","x","115","filler","filler"
"steam","1","lock","top","412","o","115","filler","filler"
"horse","1","hooves","top","528","x","115","test","bottom"
"cable","1","pulley","bottom","450","o","115","filler","filler"
"broom","1","handle","top","434","x","115","test","top"
"plastic","1","shortage","bottom","494","x","115","filler","filler"
"winter","1","book","top","574","o","115","filler","filler"
"car","1","wheels","bottom","511","o","115","test","bottom"
"tree","1","leaves","bottom","526","o","115","test","top"
"horse","1","mane","bottom","589","o","115","test","top"
"cactus","1","bee","top","432","x","115","filler","filler"
"birth","1","rash","top","492","o","115","filler","filler"
"water","1","bird","top","543","x","115","filler","filler"
"shower","1","spout","bottom","382","o","115","test","top"
"mountain","1","base","top","499","x","115","test","bottom"
"elephant","1","foot","bottom","420","o","115","test","bottom"
"floor","1","lamp","bottom","465","o","115","test","top"
"elephant","1","ear","top","529","x","115","test","top"
"mountain","1","peak","bottom","349","o","115","test","top"
"winter","1","show","bottom","702","x","115","filler","filler"
"flower","1","stem","top","672","x","115","test","bottom"
"pine","1","oil","top","510","x","115","filler","filler"
"chocolate","1","powder","bottom","474","o","115","filler","filler"
"bedroom","1","curtains","top","547","x","115","test","top"
"nose","1","sound","top","511","x","115","filler","filler"
"bird","1","eye","top","497","x","115","test","top"
"urban","1","tower","bottom","499","x","115","filler","filler"
"bear","1","snout","top","500","x","115","test","top"
"student","1","accusation","bottom","560","o","115","filler","filler"
"corn","1","seed","bottom","594","o","115","test","bottom"
"summer","1","clothes","bottom","449","x","115","filler","filler"
"tax","1","pressure","top","437","o","115","filler","filler"
"air","1","power","top","439","o","115","filler","filler"
"coconut","1","milk","bottom","494","o","115","test","bottom"
"floor","1","rug","top","400","x","115","test","bottom"
"car","1","windows","top","384","x","115","test","top"
"cactus","1","chipmunk","bottom","497","o","115","filler","filler"
"church","1","pew","bottom","465","o","115","test","bottom"
"shower","1","drain","top","352","x","115","test","bottom"
"job","1","language","top","492","o","115","filler","filler"
"dog","1","paw","bottom","477","o","115","test","bottom"
"mushroom","1","stalk","top","528","x","115","test","bottom"
"hotel","1","lobby","top","590","x","115","test","bottom"
"rain","1","puddle","top","518","x","115","test","bottom"
"sugar","1","alcohol","top","626","x","115","filler","filler"
"grain","1","law","top","502","o","115","filler","filler"
"trouser","0","buckle","bottom","514","o","115","test","top"
"bedroom","1","carpet","bottom","552","o","115","test","bottom"
"milk","1","virus","top","533","x","115","filler","filler"
"corn","1","stalk","top","581","x","115","test","top"
"bird","1","talon","bottom","402","o","115","test","bottom"
"job","1","competition","bottom","574","x","115","filler","filler"
"cable","1","brake","top","570","x","115","filler","filler"
"sugar","1","extract","bottom","466","o","115","filler","filler"
"trouser","1","hem","top","564","x","115","test","bottom"
"cane","1","juice","bottom","498","x","115","filler","filler"
"church","1","steeple","top","578","x","115","test","top"
"street","1","corner","top","432","x","115","test","bottom"
"wood","1","freshner","bottom","580","o","115","filler","filler"
"street","1","light","bottom","435","o","115","test","top"
"dog","1","collar","top","434","x","115","test","top"
"college","1","lake","top","513","o","115","filler","filler"
