"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"clock","1","radio","bottom","748","o","124","test","bottom"
"milk","1","virus","top","407","x","124","filler","filler"
"tax","1","pressure","top","502","o","124","filler","filler"
"family","1","cow","top","373","o","124","filler","filler"
"church","1","pew","bottom","590","o","124","test","bottom"
"ocean","1","floor","top","409","x","124","test","bottom"
"house","1","attic","bottom","429","o","124","test","top"
"church","0","steeple","top","3","x","124","test","top"
"birth","0","rash","top","2","o","124","filler","filler"
"desk","1","drawer","bottom","591","o","124","test","bottom"
"winter","1","book","top","422","o","124","filler","filler"
"air","1","power","top","366","o","124","filler","filler"
"oil","1","moisturizer","bottom","462","x","124","filler","filler"
"chocolate","1","powder","bottom","354","o","124","filler","filler"
"trouser","1","buckle","bottom","592","o","124","test","top"
"coal","1","country","bottom","340","o","124","filler","filler"
"floor","1","rug","top","403","x","124","test","bottom"
"plastic","1","shortage","bottom","474","x","124","filler","filler"
"shoe","0","laces","bottom","418","o","124","test","top"
"cowboy","1","hat","top","566","x","124","test","top"
"elephant","1","foot","bottom","499","o","124","test","bottom"
"table","1","leg","top","477","x","124","test","bottom"
"college","1","property","bottom","406","x","124","filler","filler"
"horse","1","hooves","top","477","x","124","test","bottom"
"cane","1","sugar","top","479","o","124","filler","filler"
"cactus","1","chipmunk","bottom","471","o","124","filler","filler"
"nose","1","itch","bottom","507","o","124","filler","filler"
"cactus","0","bee","top","474","x","124","filler","filler"
"rain","1","cloud","bottom","493","o","124","test","top"
"tree","1","roots","top","620","x","124","test","bottom"
"floor","1","lamp","bottom","655","o","124","test","top"
"job","1","language","top","541","o","124","filler","filler"
"tax","1","wealth","bottom","696","x","124","filler","filler"
"urban","1","riot","top","366","o","124","filler","filler"
"air","1","current","bottom","495","x","124","filler","filler"
"sugar","1","extract","bottom","533","o","124","filler","filler"
"coffee","1","tension","top","523","x","124","filler","filler"
"bedroom","1","curtains","top","483","x","124","test","top"
"urban","1","tower","bottom","482","x","124","filler","filler"
"broom","1","handle","top","606","x","124","test","top"
"shower","0","spout","bottom","478","o","124","test","top"
"fruit","1","food","top","645","x","124","filler","filler"
"coal","1","town","top","477","x","124","filler","filler"
"pine","1","oil","top","432","x","124","filler","filler"
"bedroom","1","carpet","bottom","548","o","124","test","bottom"
"shower","1","drain","top","481","x","124","test","bottom"
"nose","1","sound","top","438","x","124","filler","filler"
"bicycle","1","seat","top","432","x","124","test","top"
"student","1","vote","top","418","x","124","filler","filler"
"cane","1","juice","bottom","402","x","124","filler","filler"
"car","1","windows","top","388","x","124","test","top"
"honey","1","muffin","bottom","478","o","124","filler","filler"
"pine","1","bark","bottom","388","o","124","filler","filler"
"water","1","bird","top","386","x","124","filler","filler"
"olive","1","fertilizer","bottom","453","x","124","filler","filler"
