"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"clock","1","tower","top","623","x","122","test","top"
"desk","1","lamp","top","451","x","122","test","top"
"birth","1","cramp","bottom","442","x","122","filler","filler"
"mushroom","1","stalk","top","572","x","122","test","bottom"
"college","1","property","bottom","377","x","122","filler","filler"
"bicycle","0","tire","bottom","409","o","122","test","bottom"
"bear","1","snout","top","607","x","122","test","top"
"olive","0","season","top","406","o","122","filler","filler"
"desk","1","drawer","bottom","645","o","122","test","bottom"
"hotel","1","roof","bottom","519","o","122","test","top"
"pine","1","oil","top","631","x","122","filler","filler"
"coal","1","country","bottom","702","o","122","filler","filler"
"cowboy","1","hat","top","576","x","122","test","top"
"oil","1","treatment","top","668","o","122","filler","filler"
"shoe","1","laces","bottom","510","o","122","test","top"
"horse","1","hooves","top","493","x","122","test","bottom"
"shower","1","drain","top","627","x","122","test","bottom"
"honey","1","soup","top","604","x","122","filler","filler"
"table","1","leg","top","499","x","122","test","bottom"
"grain","1","law","top","330","o","122","filler","filler"
"honey","1","muffin","bottom","458","o","122","filler","filler"
"college","1","lake","top","471","o","122","filler","filler"
"cable","1","brake","top","394","x","122","filler","filler"
"horse","0","mane","bottom","419","o","122","test","top"
"cable","1","pulley","bottom","563","o","122","filler","filler"
"water","1","algae","bottom","461","o","122","filler","filler"
"coconut","0","tree","top","416","x","122","test","top"
"urban","1","tower","bottom","488","x","122","filler","filler"
"rain","1","cloud","bottom","625","o","122","test","top"
"table","1","cloth","bottom","500","o","122","test","top"
"dog","1","paw","bottom","445","o","122","test","bottom"
"street","1","light","bottom","462","o","122","test","top"
"olive","1","fertilizer","bottom","532","x","122","filler","filler"
"elephant","1","ear","top","562","x","122","test","top"
"coffee","1","stain","bottom","670","o","122","filler","filler"
"pine","1","bark","bottom","757","o","122","filler","filler"
"house","1","attic","bottom","532","o","122","test","top"
"mushroom","1","cap","bottom","597","o","122","test","top"
"bird","1","talon","bottom","605","o","122","test","bottom"
"trouser","0","hem","top","657","x","122","test","bottom"
"summer","1","clothes","bottom","592","x","122","filler","filler"
"summer","1","money","top","561","o","122","filler","filler"
"tree","1","leaves","bottom","657","o","122","test","top"
"bicycle","1","seat","top","562","x","122","test","top"
"fruit","1","slice","bottom","499","o","122","filler","filler"
"elephant","1","foot","bottom","433","o","122","test","bottom"
"corn","1","seed","bottom","467","o","122","test","bottom"
"cactus","1","bee","top","496","x","122","filler","filler"
"ocean","1","floor","top","719","x","122","test","bottom"
"winter","1","book","top","417","o","122","filler","filler"
"dog","1","collar","top","692","x","122","test","top"
"bird","1","eye","top","758","x","122","test","top"
"mountain","1","peak","bottom","602","o","122","test","top"
"oil","1","moisturizer","bottom","661","x","122","filler","filler"
"sugar","1","extract","bottom","475","o","122","filler","filler"
"broom","1","bristles","bottom","461","o","122","test","bottom"
"bedroom","1","curtains","top","806","x","122","test","top"
"broom","0","handle","top","661","x","122","test","top"
"steam","1","lock","top","465","o","122","filler","filler"
"coffee","0","tension","top","436","x","122","filler","filler"
"bottle","1","cap","top","511","x","122","test","top"
"student","1","vote","top","637","x","122","filler","filler"
"air","1","current","bottom","559","x","122","filler","filler"
"bedroom","1","carpet","bottom","690","o","122","test","bottom"
"flower","1","stem","top","483","x","122","test","bottom"
"family","1","cow","top","452","o","122","filler","filler"
"moth","1","shape","top","764","x","122","filler","filler"
"birth","1","rash","top","505","o","122","filler","filler"
"bear","1","claw","bottom","462","o","122","test","bottom"
"winter","1","show","bottom","470","x","122","filler","filler"
"church","1","pew","bottom","516","o","122","test","bottom"
"car","1","windows","top","534","x","122","test","top"
"job","1","language","top","583","o","122","filler","filler"
"wood","1","freshner","bottom","563","o","122","filler","filler"
"cane","1","juice","bottom","594","x","122","filler","filler"
"hotel","1","lobby","top","510","x","122","test","bottom"
"church","1","steeple","top","800","x","122","test","top"
"family","1","garden","bottom","581","x","122","filler","filler"
"milk","1","virus","top","559","x","122","filler","filler"
"street","1","corner","top","570","x","122","test","bottom"
"steam","1","turbine","bottom","460","x","122","filler","filler"
"cowboy","1","boot","bottom","616","o","122","test","bottom"
"floor","1","lamp","bottom","660","o","122","test","top"
"house","1","cellar","top","537","x","122","test","bottom"
"tax","1","wealth","bottom","584","x","122","filler","filler"
"student","1","accusation","bottom","1109","o","122","filler","filler"
"water","1","bird","top","601","x","122","filler","filler"
"bottle","1","coaster","bottom","577","o","122","test","bottom"
"shower","1","spout","bottom","486","o","122","test","top"
"milk","1","bacterium","bottom","559","o","122","filler","filler"
"urban","1","riot","top","419","o","122","filler","filler"
"rain","1","puddle","top","705","x","122","test","bottom"
"plastic","1","shortage","bottom","770","x","122","filler","filler"
"chocolate","1","shavings","top","539","x","122","filler","filler"
"trouser","1","buckle","bottom","451","o","122","test","top"
"grain","1","controversy","bottom","539","x","122","filler","filler"
"sugar","1","alcohol","top","670","x","122","filler","filler"
"cactus","1","chipmunk","bottom","544","o","122","filler","filler"
"air","1","power","top","607","o","122","filler","filler"
"wood","1","stove","top","612","x","122","filler","filler"
"ocean","1","surface","bottom","541","o","122","test","top"
"coconut","1","milk","bottom","478","o","122","test","bottom"
"mountain","1","base","top","974","x","122","test","bottom"
"nose","1","itch","bottom","574","o","122","filler","filler"
"tax","1","pressure","top","471","o","122","filler","filler"
