"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"hotel","1","lobby","top","448","x","119","test","bottom"
"church","1","pew","bottom","398","o","119","test","bottom"
"air","1","power","top","497","o","119","filler","filler"
"trouser","1","buckle","bottom","446","o","119","test","top"
"winter","1","book","top","393","o","119","filler","filler"
"grain","1","controversy","bottom","553","x","119","filler","filler"
"rain","1","cloud","bottom","483","o","119","test","top"
"nose","1","itch","bottom","406","o","119","filler","filler"
"cowboy","1","boot","bottom","465","o","119","test","bottom"
"street","1","light","bottom","388","o","119","test","top"
"mushroom","1","cap","bottom","386","o","119","test","top"
"elephant","1","foot","bottom","463","o","119","test","bottom"
"winter","1","show","bottom","543","x","119","filler","filler"
"floor","1","rug","top","401","x","119","test","bottom"
"bedroom","1","carpet","bottom","454","o","119","test","bottom"
"tax","1","wealth","bottom","573","x","119","filler","filler"
"church","1","steeple","top","545","x","119","test","top"
"corn","1","stalk","top","542","x","119","test","top"
"moth","1","wing","bottom","448","o","119","filler","filler"
"fruit","1","food","top","461","x","119","filler","filler"
"floor","1","lamp","bottom","404","o","119","test","top"
"shower","1","spout","bottom","430","o","119","test","top"
"summer","1","clothes","bottom","406","x","119","filler","filler"
"bicycle","1","tire","bottom","365","o","119","test","bottom"
"chocolate","1","shavings","top","479","x","119","filler","filler"
"horse","1","hooves","top","445","x","119","test","bottom"
"mountain","1","base","top","501","x","119","test","bottom"
"dog","1","collar","top","432","x","119","test","top"
"cactus","1","chipmunk","bottom","400","o","119","filler","filler"
"mushroom","1","stalk","top","565","x","119","test","bottom"
"coal","1","town","top","501","x","119","filler","filler"
"family","1","garden","bottom","405","x","119","filler","filler"
"shoe","1","laces","bottom","502","o","119","test","top"
"wood","1","stove","top","591","x","119","filler","filler"
"dog","1","paw","bottom","354","o","119","test","bottom"
"desk","1","drawer","bottom","538","o","119","test","bottom"
"desk","1","lamp","top","478","x","119","test","top"
"cable","1","pulley","bottom","371","o","119","filler","filler"
"clock","1","radio","bottom","397","o","119","test","bottom"
"bedroom","1","curtains","top","484","x","119","test","top"
"sugar","1","alcohol","top","816","x","119","filler","filler"
"corn","1","seed","bottom","475","o","119","test","bottom"
"pine","1","oil","top","630","x","119","filler","filler"
"student","1","vote","top","400","x","119","filler","filler"
"college","1","property","bottom","563","x","119","filler","filler"
"family","1","cow","top","579","o","119","filler","filler"
"honey","1","muffin","bottom","495","o","119","filler","filler"
"birth","1","rash","top","434","o","119","filler","filler"
"broom","1","bristles","bottom","404","o","119","test","bottom"
"nose","1","sound","top","561","x","119","filler","filler"
"clock","1","tower","top","413","x","119","test","top"
"car","1","windows","top","449","x","119","test","top"
"bear","1","snout","top","405","x","119","test","top"
"grain","1","law","top","477","o","119","filler","filler"
"summer","1","money","top","397","o","119","filler","filler"
"bird","1","eye","top","537","x","119","test","top"
"rain","1","puddle","top","398","x","119","test","bottom"
"house","1","cellar","top","514","x","119","test","bottom"
"flower","1","stem","top","417","x","119","test","bottom"
"pine","1","bark","bottom","401","o","119","filler","filler"
"bottle","1","coaster","bottom","674","o","119","test","bottom"
"plastic","1","report","top","557","o","119","filler","filler"
"wood","1","freshner","bottom","579","o","119","filler","filler"
"table","1","leg","top","510","x","119","test","bottom"
"shower","1","drain","top","562","x","119","test","bottom"
"olive","1","season","top","497","o","119","filler","filler"
"oil","1","moisturizer","bottom","544","x","119","filler","filler"
"sugar","1","extract","bottom","702","o","119","filler","filler"
"cane","1","juice","bottom","623","x","119","filler","filler"
"college","1","lake","top","451","o","119","filler","filler"
"car","1","wheels","bottom","669","o","119","test","bottom"
"milk","1","virus","top","479","x","119","filler","filler"
"trouser","1","hem","top","638","x","119","test","bottom"
"cable","1","brake","top","508","x","119","filler","filler"
"tax","1","pressure","top","530","o","119","filler","filler"
"street","1","corner","top","484","x","119","test","bottom"
"ocean","1","floor","top","395","x","119","test","bottom"
"steam","1","turbine","bottom","508","x","119","filler","filler"
"coffee","1","stain","bottom","481","o","119","filler","filler"
"flower","1","petal","bottom","387","o","119","test","top"
"cactus","1","bee","top","451","x","119","filler","filler"
"coconut","1","tree","top","432","x","119","test","top"
"water","1","bird","top","502","x","119","filler","filler"
"coal","1","country","bottom","669","o","119","filler","filler"
"bottle","1","cap","top","429","x","119","test","top"
"table","1","cloth","bottom","772","o","119","test","top"
"coconut","1","milk","bottom","425","o","119","test","bottom"
"elephant","1","ear","top","442","x","119","test","top"
"broom","1","handle","top","481","x","119","test","top"
"hotel","1","roof","bottom","540","o","119","test","top"
"horse","1","mane","bottom","397","o","119","test","top"
"steam","1","lock","top","545","o","119","filler","filler"
"bicycle","1","seat","top","525","x","119","test","top"
"tree","1","leaves","bottom","507","o","119","test","top"
"tree","1","roots","top","638","x","119","test","bottom"
"moth","1","shape","top","609","x","119","filler","filler"
"job","1","language","top","447","o","119","filler","filler"
"birth","1","cramp","bottom","880","x","119","filler","filler"
"honey","1","soup","top","465","x","119","filler","filler"
"chocolate","1","powder","bottom","378","o","119","filler","filler"
"plastic","1","shortage","bottom","480","x","119","filler","filler"
"coffee","1","tension","top","480","x","119","filler","filler"
"student","1","accusation","bottom","390","o","119","filler","filler"
"fruit","1","slice","bottom","479","o","119","filler","filler"
"oil","1","treatment","top","494","o","119","filler","filler"
"mountain","0","peak","bottom","346","o","119","test","top"
"bird","1","talon","bottom","511","o","119","test","bottom"
"urban","1","riot","top","606","o","119","filler","filler"
"cowboy","1","hat","top","559","x","119","test","top"
"air","1","current","bottom","717","x","119","filler","filler"
"bear","1","claw","bottom","429","o","119","test","bottom"
"ocean","1","surface","bottom","452","o","119","test","top"
"olive","0","fertilizer","bottom","399","x","119","filler","filler"
"cane","1","sugar","top","497","o","119","filler","filler"
"house","1","attic","bottom","565","o","119","test","top"
"shoe","1","soles","top","469","x","119","test","bottom"
"urban","1","tower","bottom","741","x","119","filler","filler"
"milk","1","bacterium","bottom","513","o","119","filler","filler"
"job","1","competition","bottom","532","x","119","filler","filler"
"water","1","algae","bottom","477","o","119","filler","filler"
