"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"student","1","accusation","bottom","494","o","108","filler"
"street","1","corner","bottom","470","x","108","test"
"house","1","attic","top","447","o","108","test"
"wood","1","freshner","bottom","482","o","108","filler"
"cable","1","brake","top","505","x","108","filler"
"dog","1","paw","bottom","507","o","108","test"
"pine","1","oil","top","434","x","108","filler"
"bicycle","1","tire","bottom","289","o","108","test"
"grain","1","controversy","bottom","612","x","108","filler"
"water","1","algae","bottom","479","o","108","filler"
"coffee","1","stain","bottom","467","o","108","filler"
"desk","1","drawer","bottom","401","o","108","test"
"trouser","0","buckle","top","389","o","108","test"
"car","1","windows","top","459","x","108","test"
"hotel","1","roof","top","493","o","108","test"
"college","1","lake","top","325","o","108","filler"
"bicycle","1","seat","top","485","x","108","test"
"grain","0","law","top","395","o","108","filler"
"tax","1","pressure","top","390","o","108","filler"
"mountain","1","base","bottom","671","x","108","test"
"plastic","1","report","top","370","o","108","filler"
"cactus","1","chipmunk","bottom","573","o","108","filler"
"car","1","wheels","bottom","478","o","108","test"
"shower","0","drain","bottom","395","x","108","test"
"ocean","1","floor","bottom","581","x","108","test"
"family","1","garden","bottom","479","x","108","filler"
"cable","1","pulley","bottom","482","o","108","filler"
"bird","1","talon","bottom","435","o","108","test"
"bedroom","1","curtains","top","609","x","108","test"
"mushroom","1","cap","top","451","o","108","test"
"wood","1","stove","top","524","x","108","filler"
"winter","1","book","top","480","o","108","filler"
"milk","1","bacterium","bottom","478","o","108","filler"
"air","1","power","top","596","o","108","filler"
"bird","1","eye","top","590","x","108","test"
"pine","1","bark","bottom","517","o","108","filler"
"corn","1","stalk","top","494","x","108","test"
"bear","0","snout","top","353","x","108","test"
"hotel","1","lobby","bottom","708","x","108","test"
"cowboy","1","hat","top","709","x","108","test"
"mountain","1","peak","top","596","o","108","test"
"coconut","1","tree","top","548","x","108","test"
"elephant","1","ear","top","544","x","108","test"
"college","1","property","bottom","641","x","108","filler"
"street","1","light","top","563","o","108","test"
"honey","1","muffin","bottom","560","o","108","filler"
"corn","1","seed","bottom","476","o","108","test"
"cane","1","sugar","top","463","o","108","filler"
"floor","1","rug","bottom","484","x","108","test"
"coconut","1","milk","bottom","497","o","108","test"
"rain","1","cloud","top","678","o","108","test"
"broom","1","bristles","bottom","442","o","108","test"
"air","1","current","bottom","482","x","108","filler"
"ocean","1","surface","top","481","o","108","test"
"moth","1","wing","bottom","482","o","108","filler"
"clock","1","tower","top","528","x","108","test"
"bottle","1","cap","top","445","x","108","test"
"table","1","cloth","top","992","o","108","test"
"cane","1","juice","bottom","650","x","108","filler"
"chocolate","1","powder","bottom","527","o","108","filler"
"bedroom","1","carpet","bottom","464","o","108","test"
"dog","1","collar","top","545","x","108","test"
"plastic","1","shortage","bottom","590","x","108","filler"
"clock","1","radio","bottom","723","o","108","test"
"elephant","1","foot","bottom","516","o","108","test"
"nose","1","itch","bottom","514","o","108","filler"
"fruit","1","food","top","481","x","108","filler"
"tree","1","roots","bottom","566","x","108","test"
"moth","1","shape","top","466","x","108","filler"
"nose","1","sound","top","524","x","108","filler"
"honey","1","soup","top","387","x","108","filler"
"shoe","1","laces","top","457","o","108","test"
"tax","1","wealth","bottom","528","x","108","filler"
"flower","1","petal","top","463","o","108","test"
"urban","1","tower","bottom","788","x","108","filler"
"family","1","cow","top","480","o","108","filler"
"birth","1","rash","top","435","o","108","filler"
"summer","1","clothes","bottom","580","x","108","filler"
"olive","1","fertilizer","bottom","530","x","108","filler"
"steam","1","turbine","bottom","446","x","108","filler"
"broom","1","handle","top","528","x","108","test"
"floor","1","lamp","top","421","o","108","test"
"horse","1","mane","top","402","o","108","test"
"coffee","1","tension","top","491","x","108","filler"
"house","1","cellar","bottom","910","x","108","test"
"water","1","bird","top","558","x","108","filler"
"oil","1","moisturizer","bottom","692","x","108","filler"
"church","1","pew","bottom","534","o","108","test"
"flower","1","stem","bottom","549","x","108","test"
"cowboy","1","boot","bottom","675","o","108","test"
"steam","1","lock","top","581","o","108","filler"
"mushroom","1","stalk","bottom","465","x","108","test"
"cactus","1","bee","top","469","x","108","filler"
"chocolate","1","shavings","top","432","x","108","filler"
"oil","1","treatment","top","378","o","108","filler"
"shoe","1","soles","bottom","639","x","108","test"
"horse","1","hooves","bottom","496","x","108","test"
"sugar","1","alcohol","top","675","x","108","filler"
"coal","1","town","top","358","x","108","filler"
"job","1","competition","bottom","511","x","108","filler"
"olive","1","season","top","356","o","108","filler"
"coal","1","country","bottom","354","o","108","filler"
"birth","1","cramp","bottom","513","x","108","filler"
"bottle","1","coaster","bottom","816","o","108","test"
"church","1","steeple","top","448","x","108","test"
"student","1","vote","top","381","x","108","filler"
"tree","1","leaves","top","454","o","108","test"
"summer","1","money","top","414","o","108","filler"
"trouser","1","hem","bottom","500","x","108","test"
"table","1","leg","bottom","546","x","108","test"
"winter","1","show","bottom","290","x","108","filler"
"rain","1","puddle","bottom","421","x","108","test"
"desk","1","lamp","top","654","x","108","test"
"bear","1","claw","bottom","323","o","108","test"
"sugar","1","extract","bottom","473","o","108","filler"
"fruit","1","slice","bottom","496","o","108","filler"
"shower","1","spout","top","499","o","108","test"
"milk","1","virus","top","517","x","108","filler"
"urban","1","riot","top","338","o","108","filler"
"job","1","language","top","351","o","108","filler"
