"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"horse","1","hooves","top","447","x","129","test","bottom"
"broom","1","bristles","bottom","394","o","129","test","bottom"
"floor","1","lamp","bottom","448","o","129","test","top"
"college","1","lake","top","479","o","129","filler","filler"
"water","1","algae","bottom","402","o","129","filler","filler"
"grain","1","controversy","bottom","300","x","129","filler","filler"
"church","1","pew","bottom","411","o","129","test","bottom"
"shoe","1","soles","top","518","x","129","test","bottom"
"mushroom","1","cap","bottom","414","o","129","test","top"
"shoe","1","laces","bottom","451","o","129","test","top"
"tax","1","wealth","bottom","540","x","129","filler","filler"
"elephant","1","ear","top","634","x","129","test","top"
"shower","1","drain","top","534","x","129","test","bottom"
"birth","1","cramp","bottom","459","x","129","filler","filler"
"rain","1","puddle","top","485","x","129","test","bottom"
"urban","1","tower","bottom","414","x","129","filler","filler"
"ocean","1","surface","bottom","293","o","129","test","top"
"bird","1","talon","bottom","384","o","129","test","bottom"
"church","1","steeple","top","463","x","129","test","top"
"cable","1","brake","top","488","x","129","filler","filler"
"bear","1","snout","top","429","x","129","test","top"
"student","1","vote","top","412","x","129","filler","filler"
"student","1","accusation","bottom","532","o","129","filler","filler"
"bedroom","1","carpet","bottom","320","o","129","test","bottom"
"pine","1","oil","top","549","x","129","filler","filler"
"milk","1","bacterium","bottom","383","o","129","filler","filler"
"plastic","0","report","top","447","o","129","filler","filler"
"job","1","language","top","494","o","129","filler","filler"
"winter","1","book","top","579","o","129","filler","filler"
"mountain","1","base","top","475","x","129","test","bottom"
"coconut","1","milk","bottom","494","o","129","test","bottom"
"mushroom","1","stalk","top","613","x","129","test","bottom"
"coffee","1","tension","top","366","x","129","filler","filler"
"sugar","1","extract","bottom","463","o","129","filler","filler"
"bottle","1","cap","top","431","x","129","test","top"
"job","1","competition","bottom","483","x","129","filler","filler"
"dog","1","collar","top","402","x","129","test","top"
"college","1","property","bottom","393","x","129","filler","filler"
"olive","1","season","top","557","o","129","filler","filler"
"rain","1","cloud","bottom","340","o","129","test","top"
"trouser","1","buckle","bottom","269","o","129","test","top"
"cowboy","1","boot","bottom","334","o","129","test","bottom"
"cactus","1","bee","top","388","x","129","filler","filler"
"summer","1","clothes","bottom","418","x","129","filler","filler"
"bottle","1","coaster","bottom","462","o","129","test","bottom"
"street","1","corner","top","414","x","129","test","bottom"
"house","1","attic","bottom","437","o","129","test","top"
"broom","1","handle","top","368","x","129","test","top"
"cane","1","sugar","top","469","o","129","filler","filler"
"table","1","cloth","bottom","363","o","129","test","top"
"coconut","1","tree","top","419","x","129","test","top"
"bicycle","1","tire","bottom","496","o","129","test","bottom"
"mountain","1","peak","bottom","320","o","129","test","top"
"nose","1","itch","bottom","305","o","129","filler","filler"
"steam","1","lock","top","348","o","129","filler","filler"
"sugar","1","alcohol","top","466","x","129","filler","filler"
"olive","1","fertilizer","bottom","528","x","129","filler","filler"
"pine","1","bark","bottom","371","o","129","filler","filler"
"oil","1","moisturizer","bottom","494","x","129","filler","filler"
"corn","1","seed","bottom","412","o","129","test","bottom"
"flower","1","stem","top","516","x","129","test","bottom"
"bird","1","eye","top","444","x","129","test","top"
"honey","1","soup","top","458","x","129","filler","filler"
"water","1","bird","top","430","x","129","filler","filler"
"air","1","current","bottom","411","x","129","filler","filler"
"wood","0","stove","top","361","x","129","filler","filler"
"house","1","cellar","top","629","x","129","test","bottom"
"urban","1","riot","top","673","o","129","filler","filler"
"coffee","1","stain","bottom","825","o","129","filler","filler"
"horse","1","mane","bottom","435","o","129","test","top"
"coal","1","town","top","423","x","129","filler","filler"
"fruit","1","food","top","437","x","129","filler","filler"
"car","1","wheels","bottom","525","o","129","test","bottom"
"oil","1","treatment","top","591","o","129","filler","filler"
"floor","1","rug","top","451","x","129","test","bottom"
"dog","1","paw","bottom","479","o","129","test","bottom"
"car","1","windows","top","514","x","129","test","top"
"steam","1","turbine","bottom","767","x","129","filler","filler"
"family","1","cow","top","379","o","129","filler","filler"
"clock","1","tower","top","458","x","129","test","top"
"chocolate","1","powder","bottom","442","o","129","filler","filler"
"hotel","1","roof","bottom","353","o","129","test","top"
"table","1","leg","top","398","x","129","test","bottom"
"cactus","1","chipmunk","bottom","435","o","129","filler","filler"
"grain","1","law","top","509","o","129","filler","filler"
"honey","1","muffin","bottom","687","o","129","filler","filler"
"corn","1","stalk","top","416","x","129","test","top"
"desk","1","drawer","bottom","409","o","129","test","bottom"
"nose","1","sound","top","431","x","129","filler","filler"
"shower","1","spout","bottom","482","o","129","test","top"
"desk","1","lamp","top","478","x","129","test","top"
"wood","1","freshner","bottom","541","o","129","filler","filler"
"clock","1","radio","bottom","407","o","129","test","bottom"
"plastic","1","shortage","bottom","407","x","129","filler","filler"
"ocean","1","floor","top","398","x","129","test","bottom"
"tax","1","pressure","top","355","o","129","filler","filler"
"cable","1","pulley","bottom","353","o","129","filler","filler"
"coal","1","country","bottom","412","o","129","filler","filler"
"trouser","1","hem","top","485","x","129","test","bottom"
"bedroom","1","curtains","top","479","x","129","test","top"
"elephant","1","foot","bottom","588","o","129","test","bottom"
"summer","1","money","top","449","o","129","filler","filler"
"street","1","light","bottom","384","o","129","test","top"
"fruit","1","slice","bottom","340","o","129","filler","filler"
"chocolate","1","shavings","top","410","x","129","filler","filler"
"bear","1","claw","bottom","567","o","129","test","bottom"
"milk","1","virus","top","439","x","129","filler","filler"
"hotel","1","lobby","top","559","x","129","test","bottom"
"flower","1","petal","bottom","355","o","129","test","top"
"cane","1","juice","bottom","545","x","129","filler","filler"
"winter","1","show","bottom","467","x","129","filler","filler"
"birth","1","rash","top","426","o","129","filler","filler"
