"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"pine","1","bark","bottom","399","o","127","filler","filler"
"car","1","windows","top","358","x","127","test","top"
"elephant","1","ear","top","455","x","127","test","top"
"steam","1","lock","top","369","o","127","filler","filler"
"shower","1","drain","top","426","x","127","test","bottom"
"sugar","1","alcohol","top","347","x","127","filler","filler"
"wood","1","freshner","bottom","624","o","127","filler","filler"
"bird","1","eye","top","452","x","127","test","top"
"water","1","bird","top","447","x","127","filler","filler"
"coal","1","town","top","369","x","127","filler","filler"
"family","1","garden","bottom","575","x","127","filler","filler"
"bottle","1","coaster","bottom","541","o","127","test","bottom"
"hotel","1","lobby","top","429","x","127","test","bottom"
"bear","1","snout","top","507","x","127","test","top"
"milk","1","virus","top","381","x","127","filler","filler"
"rain","1","cloud","bottom","662","o","127","test","top"
"mushroom","1","stalk","top","417","x","127","test","bottom"
"water","1","algae","bottom","464","o","127","filler","filler"
"shoe","1","laces","bottom","445","o","127","test","top"
"student","1","vote","top","539","x","127","filler","filler"
"bicycle","1","tire","bottom","350","o","127","test","bottom"
"wood","1","stove","top","360","x","127","filler","filler"
"grain","1","controversy","bottom","466","x","127","filler","filler"
"hotel","1","roof","bottom","570","o","127","test","top"
"job","1","competition","bottom","515","x","127","filler","filler"
"broom","1","bristles","bottom","459","o","127","test","bottom"
"nose","1","sound","top","653","x","127","filler","filler"
"house","1","attic","bottom","458","o","127","test","top"
"tax","1","wealth","bottom","545","x","127","filler","filler"
"cowboy","1","boot","bottom","409","o","127","test","bottom"
"cactus","1","chipmunk","bottom","481","o","127","filler","filler"
"fruit","1","slice","bottom","404","o","127","filler","filler"
"ocean","1","floor","top","422","x","127","test","bottom"
"winter","1","show","bottom","527","x","127","filler","filler"
"floor","1","lamp","bottom","462","o","127","test","top"
"plastic","1","report","top","574","o","127","filler","filler"
"rain","1","puddle","top","488","x","127","test","bottom"
"mountain","1","base","top","416","x","127","test","bottom"
"air","0","power","top","409","o","127","filler","filler"
"tree","1","leaves","bottom","422","o","127","test","top"
"birth","1","cramp","bottom","603","x","127","filler","filler"
"flower","0","stem","top","535","x","127","test","bottom"
"cactus","1","bee","top","583","x","127","filler","filler"
"college","1","lake","top","499","o","127","filler","filler"
"mushroom","1","cap","bottom","596","o","127","test","top"
"broom","1","handle","top","370","x","127","test","top"
"church","1","pew","bottom","447","o","127","test","bottom"
"horse","1","hooves","top","543","x","127","test","bottom"
"horse","1","mane","bottom","479","o","127","test","top"
"urban","1","riot","top","530","o","127","filler","filler"
"shoe","1","soles","top","531","x","127","test","bottom"
"family","1","cow","top","497","o","127","filler","filler"
"grain","1","law","top","446","o","127","filler","filler"
"trouser","1","buckle","bottom","610","o","127","test","top"
"cane","1","juice","bottom","487","x","127","filler","filler"
"tax","1","pressure","top","447","o","127","filler","filler"
"coconut","1","milk","bottom","433","o","127","test","bottom"
"shower","1","spout","bottom","396","o","127","test","top"
"winter","1","book","top","373","o","127","filler","filler"
"cable","0","pulley","bottom","515","o","127","filler","filler"
"coffee","1","stain","bottom","386","o","127","filler","filler"
"job","1","language","top","623","o","127","filler","filler"
"car","1","wheels","bottom","512","o","127","test","bottom"
"clock","1","radio","bottom","437","o","127","test","bottom"
"street","1","light","bottom","300","o","127","test","top"
"street","1","corner","top","430","x","127","test","bottom"
"college","1","property","bottom","402","x","127","filler","filler"
"flower","1","petal","bottom","470","o","127","test","top"
"bicycle","0","seat","top","288","x","127","test","top"
"fruit","1","food","top","482","x","127","filler","filler"
"clock","1","tower","top","418","x","127","test","top"
"moth","1","shape","top","332","x","127","filler","filler"
"dog","1","collar","top","445","x","127","test","top"
