"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"street","1","corner","top","494","x","116","test","bottom"
"wood","1","stove","top","519","x","116","filler","filler"
"flower","1","stem","top","463","x","116","test","bottom"
"cowboy","1","boot","bottom","516","o","116","test","bottom"
"rain","1","puddle","top","420","x","116","test","bottom"
"honey","1","soup","top","522","x","116","filler","filler"
"elephant","1","ear","top","414","x","116","test","top"
"cable","1","pulley","bottom","438","o","116","filler","filler"
"nose","1","sound","top","368","x","116","filler","filler"
"church","1","steeple","top","473","x","116","test","top"
"bottle","1","cap","top","398","x","116","test","top"
"street","1","light","bottom","453","o","116","test","top"
"family","0","cow","top","463","o","116","filler","filler"
"shower","1","spout","bottom","608","o","116","test","top"
"shower","1","drain","top","677","x","116","test","bottom"
"cactus","1","bee","top","484","x","116","filler","filler"
"bear","1","claw","bottom","472","o","116","test","bottom"
"coal","1","country","bottom","484","o","116","filler","filler"
"summer","1","clothes","bottom","633","x","116","filler","filler"
"oil","1","treatment","top","468","o","116","filler","filler"
"house","1","attic","bottom","381","o","116","test","top"
"mountain","1","base","top","446","x","116","test","bottom"
"college","1","property","bottom","667","x","116","filler","filler"
"ocean","1","floor","top","428","x","116","test","bottom"
"grain","1","controversy","bottom","481","x","116","filler","filler"
"floor","1","lamp","bottom","433","o","116","test","top"
"coconut","1","tree","top","399","x","116","test","top"
"flower","1","petal","bottom","462","o","116","test","top"
"car","1","wheels","bottom","368","o","116","test","bottom"
"clock","1","tower","top","447","x","116","test","top"
"ocean","1","surface","bottom","377","o","116","test","top"
"elephant","1","foot","bottom","449","o","116","test","bottom"
"air","1","power","top","430","o","116","filler","filler"
"winter","1","book","top","529","o","116","filler","filler"
"student","1","vote","top","480","x","116","filler","filler"
"corn","1","stalk","top","545","x","116","test","top"
"winter","0","show","bottom","434","x","116","filler","filler"
"clock","1","radio","bottom","750","o","116","test","bottom"
"mountain","1","peak","bottom","653","o","116","test","top"
"tree","1","roots","top","670","x","116","test","bottom"
"steam","1","lock","top","669","o","116","filler","filler"
"milk","1","virus","top","594","x","116","filler","filler"
"desk","1","lamp","top","606","x","116","test","top"
"cane","1","juice","bottom","512","x","116","filler","filler"
"trouser","1","buckle","bottom","544","o","116","test","top"
"horse","1","hooves","top","495","x","116","test","bottom"
"chocolate","1","shavings","top","530","x","116","filler","filler"
"tree","1","leaves","bottom","465","o","116","test","top"
"job","1","language","top","531","o","116","filler","filler"
"college","1","lake","top","483","o","116","filler","filler"
"birth","1","rash","top","472","o","116","filler","filler"
"bird","1","eye","top","559","x","116","test","top"
"broom","1","bristles","bottom","485","o","116","test","bottom"
