"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"clock","1","tower","top","637","x","118","test","top"
"broom","1","bristles","bottom","708","o","118","test","bottom"
"urban","1","tower","bottom","656","x","118","filler","filler"
"bottle","1","cap","top","737","x","118","test","top"
"flower","1","stem","top","558","x","118","test","bottom"
"car","1","windows","top","442","x","118","test","top"
"honey","1","muffin","bottom","537","o","118","filler","filler"
"dog","1","collar","top","409","x","118","test","top"
"street","0","corner","top","396","x","118","test","bottom"
"ocean","1","surface","bottom","616","o","118","test","top"
"sugar","1","extract","bottom","494","o","118","filler","filler"
"fruit","1","food","top","598","x","118","filler","filler"
"summer","1","money","top","471","o","118","filler","filler"
"cowboy","1","boot","bottom","572","o","118","test","bottom"
"bear","1","claw","bottom","776","o","118","test","bottom"
"bedroom","1","carpet","bottom","451","o","118","test","bottom"
"hotel","1","roof","bottom","488","o","118","test","top"
"bottle","1","coaster","bottom","707","o","118","test","bottom"
"tax","1","pressure","top","440","o","118","filler","filler"
"air","1","current","bottom","469","x","118","filler","filler"
"urban","1","riot","top","475","o","118","filler","filler"
"bird","1","talon","bottom","520","o","118","test","bottom"
"corn","1","seed","bottom","586","o","118","test","bottom"
"floor","1","lamp","bottom","500","o","118","test","top"
"milk","1","virus","top","625","x","118","filler","filler"
"church","1","pew","bottom","471","o","118","test","bottom"
"mushroom","1","stalk","top","512","x","118","test","bottom"
"moth","1","wing","bottom","539","o","118","filler","filler"
"rain","1","cloud","bottom","419","o","118","test","top"
"rain","1","puddle","top","490","x","118","test","bottom"
"college","1","property","bottom","546","x","118","filler","filler"
"chocolate","1","powder","bottom","500","o","118","filler","filler"
"church","1","steeple","top","710","x","118","test","top"
"flower","1","petal","bottom","485","o","118","test","top"
"coffee","1","stain","bottom","468","o","118","filler","filler"
"elephant","1","foot","bottom","441","o","118","test","bottom"
"oil","1","moisturizer","bottom","539","x","118","filler","filler"
"milk","1","bacterium","bottom","1184","o","118","filler","filler"
"cactus","1","chipmunk","bottom","573","o","118","filler","filler"
"chocolate","1","shavings","top","499","x","118","filler","filler"
"birth","1","cramp","bottom","615","x","118","filler","filler"
"fruit","1","slice","bottom","497","o","118","filler","filler"
"ocean","1","floor","top","401","x","118","test","bottom"
"horse","1","hooves","top","396","x","118","test","bottom"
"job","1","competition","bottom","418","x","118","filler","filler"
"mountain","1","peak","bottom","447","o","118","test","top"
"steam","1","lock","top","498","o","118","filler","filler"
"coconut","1","tree","top","433","x","118","test","top"
"trouser","0","hem","top","374","x","118","test","bottom"
"table","1","leg","top","587","x","118","test","bottom"
"summer","1","clothes","bottom","399","x","118","filler","filler"
"coffee","1","tension","top","532","x","118","filler","filler"
"tree","1","leaves","bottom","725","o","118","test","top"
"tax","1","wealth","bottom","517","x","118","filler","filler"
"shower","1","drain","top","566","x","118","test","bottom"
"shoe","1","soles","top","497","x","118","test","bottom"
"moth","1","shape","top","403","x","118","filler","filler"
"dog","1","paw","bottom","583","o","118","test","bottom"
"sugar","1","alcohol","top","496","x","118","filler","filler"
"coconut","1","milk","bottom","559","o","118","test","bottom"
"mushroom","1","cap","bottom","636","o","118","test","top"
"clock","1","radio","bottom","391","o","118","test","bottom"
"bicycle","1","seat","top","521","x","118","test","top"
"winter","1","show","bottom","439","x","118","filler","filler"
"elephant","1","ear","top","619","x","118","test","top"
"desk","1","drawer","bottom","422","o","118","test","bottom"
"coal","1","country","bottom","459","o","118","filler","filler"
"plastic","1","shortage","bottom","519","x","118","filler","filler"
"house","1","cellar","top","522","x","118","test","bottom"
"pine","1","bark","bottom","588","o","118","filler","filler"
"bicycle","1","tire","bottom","646","o","118","test","bottom"
"cowboy","1","hat","top","669","x","118","test","top"
"trouser","1","buckle","bottom","422","o","118","test","top"
"table","1","cloth","bottom","535","o","118","test","top"
"birth","1","rash","top","506","o","118","filler","filler"
"shoe","1","laces","bottom","566","o","118","test","top"
"oil","1","treatment","top","406","o","118","filler","filler"
"hotel","1","lobby","top","566","x","118","test","bottom"
"pine","1","oil","top","614","x","118","filler","filler"
"cane","1","juice","bottom","651","x","118","filler","filler"
"water","1","bird","top","468","x","118","filler","filler"
"college","1","lake","top","525","o","118","filler","filler"
"broom","1","handle","top","585","x","118","test","top"
"cable","1","pulley","bottom","633","o","118","filler","filler"
"plastic","1","report","top","458","o","118","filler","filler"
"horse","1","mane","bottom","613","o","118","test","top"
"olive","1","season","top","522","o","118","filler","filler"
"house","1","attic","bottom","585","o","118","test","top"
"bear","1","snout","top","662","x","118","test","top"
"student","1","vote","top","581","x","118","filler","filler"
"job","1","language","top","443","o","118","filler","filler"
"wood","1","freshner","bottom","537","o","118","filler","filler"
"family","1","garden","bottom","325","x","118","filler","filler"
"desk","1","lamp","top","534","x","118","test","top"
"corn","1","stalk","top","535","x","118","test","top"
"air","1","power","top","516","o","118","filler","filler"
"winter","1","book","top","454","o","118","filler","filler"
"steam","1","turbine","bottom","431","x","118","filler","filler"
"wood","1","stove","top","499","x","118","filler","filler"
"mountain","1","base","top","314","x","118","test","bottom"
"olive","1","fertilizer","bottom","469","x","118","filler","filler"
"car","1","wheels","bottom","407","o","118","test","bottom"
"cactus","1","bee","top","466","x","118","filler","filler"
"family","1","cow","top","821","o","118","filler","filler"
"street","0","light","bottom","650","o","118","test","top"
"nose","1","sound","top","812","x","118","filler","filler"
"shower","1","spout","bottom","562","o","118","test","top"
"cane","1","sugar","top","639","o","118","filler","filler"
"bedroom","1","curtains","top","928","x","118","test","top"
"student","1","accusation","bottom","583","o","118","filler","filler"
"honey","1","soup","top","545","x","118","filler","filler"
"water","1","algae","bottom","594","o","118","filler","filler"
"bird","1","eye","top","466","x","118","test","top"
"cable","1","brake","top","666","x","118","filler","filler"
"grain","1","law","top","392","o","118","filler","filler"
"coal","1","town","top","492","x","118","filler","filler"
"grain","1","controversy","bottom","395","x","118","filler","filler"
"floor","0","rug","top","406","x","118","test","bottom"
"tree","1","roots","top","522","x","118","test","bottom"
"nose","0","itch","bottom","368","o","118","filler","filler"
