"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"bottle","1","cap","top","623","x","131","test","top"
"wood","1","stove","top","600","x","131","filler","filler"
"ocean","1","surface","bottom","574","o","131","test","top"
"street","1","light","bottom","476","o","131","test","top"
"bird","1","talon","bottom","571","o","131","test","bottom"
"mushroom","1","stalk","top","375","x","131","test","bottom"
"church","1","steeple","top","484","x","131","test","top"
"corn","1","stalk","top","467","x","131","test","top"
"honey","1","muffin","bottom","462","o","131","filler","filler"
"elephant","1","ear","top","445","x","131","test","top"
"ocean","1","floor","top","432","x","131","test","bottom"
"fruit","1","food","top","379","x","131","filler","filler"
"street","1","corner","top","389","x","131","test","bottom"
"nose","1","sound","top","375","x","131","filler","filler"
"olive","0","fertilizer","bottom","445","x","131","filler","filler"
"shoe","1","laces","bottom","546","o","131","test","top"
"desk","1","drawer","bottom","782","o","131","test","bottom"
"wood","1","freshner","bottom","583","o","131","filler","filler"
"pine","1","oil","top","433","x","131","filler","filler"
"cable","1","pulley","bottom","513","o","131","filler","filler"
"cane","1","sugar","top","628","o","131","filler","filler"
"table","1","leg","top","606","x","131","test","bottom"
"pine","1","bark","bottom","468","o","131","filler","filler"
"coconut","1","milk","bottom","507","o","131","test","bottom"
"coffee","1","tension","top","509","x","131","filler","filler"
"nose","1","itch","bottom","458","o","131","filler","filler"
"coal","1","town","top","415","x","131","filler","filler"
"horse","1","mane","bottom","417","o","131","test","top"
"broom","1","handle","top","414","x","131","test","top"
"tax","0","pressure","top","463","o","131","filler","filler"
"cowboy","1","hat","top","444","x","131","test","top"
"sugar","1","alcohol","top","583","x","131","filler","filler"
"birth","1","cramp","bottom","628","x","131","filler","filler"
"flower","1","stem","top","568","x","131","test","bottom"
"water","1","bird","top","398","x","131","filler","filler"
"bear","1","snout","top","418","x","131","test","top"
"corn","1","seed","bottom","462","o","131","test","bottom"
"broom","1","bristles","bottom","416","o","131","test","bottom"
"bedroom","1","curtains","top","493","x","131","test","top"
"tax","1","wealth","bottom","554","x","131","filler","filler"
