"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"house","1","cellar","bottom","271","x","101","test"
"coal","1","town","top","446","x","101","filler"
"rain","1","cloud","top","471","o","101","test"
"shoe","1","soles","bottom","232","x","101","test"
"sugar","1","alcohol","top","446","x","101","filler"
"pine","0","bark","bottom","342","o","101","filler"
"ocean","1","surface","top","506","o","101","test"
"mushroom","1","cap","top","346","o","101","test"
"floor","1","lamp","top","970","o","101","test"
"summer","1","clothes","bottom","335","x","101","filler"
"coffee","1","stain","bottom","487","o","101","filler"
"grain","1","controversy","bottom","344","x","101","filler"
"trouser","1","hem","bottom","438","x","101","test"
"horse","1","mane","top","458","o","101","test"
"birth","1","rash","top","457","o","101","filler"
"car","1","wheels","bottom","715","o","101","test"
"student","1","accusation","bottom","409","o","101","filler"
"pine","1","oil","top","525","x","101","filler"
"bicycle","1","seat","top","608","x","101","test"
"bear","1","claw","bottom","317","o","101","test"
"street","1","light","top","323","o","101","test"
"corn","1","stalk","top","540","x","101","test"
"oil","1","treatment","top","463","o","101","filler"
"broom","0","handle","top","344","x","101","test"
"water","1","bird","top","496","x","101","filler"
"mountain","1","base","bottom","436","x","101","test"
"tree","1","roots","bottom","403","x","101","test"
"ocean","1","floor","bottom","435","x","101","test"
"chocolate","1","shavings","top","482","x","101","filler"
"winter","1","show","bottom","524","x","101","filler"
"job","1","language","top","318","o","101","filler"
"shower","1","drain","bottom","369","x","101","test"
"sugar","1","extract","bottom","494","o","101","filler"
"rain","1","puddle","bottom","335","x","101","test"
"church","0","steeple","top","309","x","101","test"
"cowboy","1","hat","top","495","x","101","test"
"hotel","1","roof","top","438","o","101","test"
"chocolate","1","powder","bottom","444","o","101","filler"
"wood","1","stove","top","569","x","101","filler"
"milk","1","bacterium","bottom","422","o","101","filler"
"bear","1","snout","top","506","x","101","test"
"table","1","cloth","top","412","o","101","test"
"winter","1","book","top","454","o","101","filler"
"clock","1","tower","top","489","x","101","test"
"elephant","1","ear","top","443","x","101","test"
"water","1","algae","bottom","492","o","101","filler"
"honey","1","soup","top","581","x","101","filler"
"nose","1","sound","top","457","x","101","filler"
"house","1","attic","top","381","o","101","test"
"cactus","1","bee","top","488","x","101","filler"
"student","1","vote","top","459","x","101","filler"
"coffee","1","tension","top","388","x","101","filler"
"car","1","windows","top","377","x","101","test"
"moth","1","shape","top","342","x","101","filler"
"coconut","1","milk","bottom","619","o","101","test"
"cable","1","pulley","bottom","516","o","101","filler"
"cable","1","brake","top","471","x","101","filler"
"grain","1","law","top","473","o","101","filler"
"corn","1","seed","bottom","521","o","101","test"
"coal","1","country","bottom","518","o","101","filler"
"summer","1","money","top","410","o","101","filler"
"bottle","1","coaster","bottom","413","o","101","test"
"bird","1","talon","bottom","409","o","101","test"
"cowboy","1","boot","bottom","398","o","101","test"
"tree","1","leaves","top","459","o","101","test"
"coconut","1","tree","top","414","x","101","test"
"bedroom","1","curtains","top","663","x","101","test"
"flower","1","petal","top","679","o","101","test"
"shoe","1","laces","top","365","o","101","test"
"bicycle","1","tire","bottom","424","o","101","test"
"hotel","1","lobby","bottom","476","x","101","test"
"table","1","leg","bottom","459","x","101","test"
"broom","1","bristles","bottom","447","o","101","test"
"olive","1","season","top","370","o","101","filler"
"shower","1","spout","top","320","o","101","test"
"college","1","property","bottom","464","x","101","filler"
"flower","1","stem","bottom","402","x","101","test"
"oil","1","moisturizer","bottom","374","x","101","filler"
"cane","1","juice","bottom","370","x","101","filler"
"bird","1","eye","top","484","x","101","test"
"bottle","1","cap","top","413","x","101","test"
"urban","1","riot","top","471","o","101","filler"
"horse","1","hooves","bottom","361","x","101","test"
"mushroom","1","stalk","bottom","550","x","101","test"
"family","1","garden","bottom","405","x","101","filler"
"church","1","pew","bottom","547","o","101","test"
"dog","1","collar","top","527","x","101","test"
"moth","1","wing","bottom","535","o","101","filler"
"job","1","competition","bottom","758","x","101","filler"
"clock","1","radio","bottom","467","o","101","test"
"cactus","1","chipmunk","bottom","345","o","101","filler"
"tax","1","pressure","top","442","o","101","filler"
"plastic","1","shortage","bottom","440","x","101","filler"
"trouser","1","buckle","top","487","o","101","test"
"steam","1","lock","top","529","o","101","filler"
"dog","1","paw","bottom","601","o","101","test"
"air","1","power","top","364","o","101","filler"
"family","1","cow","top","505","o","101","filler"
"air","1","current","bottom","506","x","101","filler"
"mountain","1","peak","top","412","o","101","test"
"desk","1","lamp","top","517","x","101","test"
"steam","1","turbine","bottom","757","x","101","filler"
"olive","1","fertilizer","bottom","465","x","101","filler"
"elephant","1","foot","bottom","556","o","101","test"
"tax","1","wealth","bottom","490","x","101","filler"
"urban","1","tower","bottom","535","x","101","filler"
"birth","1","cramp","bottom","363","x","101","filler"
"street","1","corner","bottom","409","x","101","test"
"desk","1","drawer","bottom","556","o","101","test"
"plastic","1","report","top","410","o","101","filler"
"wood","1","freshner","bottom","555","o","101","filler"
"fruit","1","food","top","509","x","101","filler"
"fruit","1","slice","bottom","523","o","101","filler"
"cane","1","sugar","top","363","o","101","filler"
"nose","1","itch","bottom","344","o","101","filler"
"bedroom","1","carpet","bottom","406","o","101","test"
"milk","1","virus","top","537","x","101","filler"
"college","1","lake","top","490","o","101","filler"
"floor","1","rug","bottom","521","x","101","test"
"honey","1","muffin","bottom","569","o","101","filler"
