"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"cane","1","juice","bottom","381","x","134","filler","filler"
"flower","1","petal","bottom","365","o","134","test","top"
"pine","1","bark","bottom","298","o","134","filler","filler"
"church","1","pew","bottom","367","o","134","test","bottom"
"cane","1","sugar","top","342","o","134","filler","filler"
"student","1","accusation","bottom","332","o","134","filler","filler"
"clock","1","radio","bottom","324","o","134","test","bottom"
"oil","1","moisturizer","bottom","356","x","134","filler","filler"
"floor","1","lamp","bottom","320","o","134","test","top"
"elephant","1","ear","top","462","x","134","test","top"
"tax","1","wealth","bottom","354","x","134","filler","filler"
"floor","1","rug","top","386","x","134","test","bottom"
"bicycle","1","seat","top","335","x","134","test","top"
"job","1","competition","bottom","348","x","134","filler","filler"
"house","1","cellar","top","341","x","134","test","bottom"
"coconut","1","milk","bottom","355","o","134","test","bottom"
"bicycle","1","tire","bottom","305","o","134","test","bottom"
"hotel","1","roof","bottom","302","o","134","test","top"
"trouser","1","buckle","bottom","243","o","134","test","top"
"urban","1","tower","bottom","386","x","134","filler","filler"
"cowboy","1","boot","bottom","266","o","134","test","bottom"
"water","1","algae","bottom","393","o","134","filler","filler"
"pine","0","oil","top","495","x","134","filler","filler"
"milk","1","bacterium","bottom","415","o","134","filler","filler"
"car","1","wheels","bottom","494","o","134","test","bottom"
"bear","1","snout","top","456","x","134","test","top"
"bottle","1","cap","top","368","x","134","test","top"
"mountain","1","base","top","331","x","134","test","bottom"
"olive","1","fertilizer","bottom","348","x","134","filler","filler"
"tree","1","leaves","bottom","346","o","134","test","top"
"college","1","property","bottom","384","x","134","filler","filler"
"nose","1","itch","bottom","361","o","134","filler","filler"
"winter","1","book","top","311","o","134","filler","filler"
"fruit","1","slice","bottom","278","o","134","filler","filler"
"clock","1","tower","top","376","x","134","test","top"
"cable","1","pulley","bottom","356","o","134","filler","filler"
"cable","0","brake","top","323","x","134","filler","filler"
"olive","1","season","top","385","o","134","filler","filler"
"shoe","1","soles","top","387","x","134","test","bottom"
"grain","1","controversy","bottom","378","x","134","filler","filler"
"bear","1","claw","bottom","402","o","134","test","bottom"
"plastic","1","report","top","319","o","134","filler","filler"
"shoe","1","laces","bottom","463","o","134","test","top"
"horse","1","hooves","top","415","x","134","test","bottom"
"steam","1","lock","top","308","o","134","filler","filler"
"street","1","light","bottom","332","o","134","test","top"
"mushroom","1","cap","bottom","309","o","134","test","top"
"water","1","bird","top","374","x","134","filler","filler"
"corn","1","seed","bottom","322","o","134","test","bottom"
"desk","1","drawer","bottom","354","o","134","test","bottom"
"ocean","1","floor","top","353","x","134","test","bottom"
"coal","1","town","top","336","x","134","filler","filler"
"tree","1","roots","top","351","x","134","test","bottom"
"corn","1","stalk","top","365","x","134","test","top"
"ocean","1","surface","bottom","497","o","134","test","top"
"house","1","attic","bottom","287","o","134","test","top"
"cactus","1","bee","top","523","x","134","filler","filler"
"job","1","language","top","404","o","134","filler","filler"
"birth","1","cramp","bottom","361","x","134","filler","filler"
"coconut","0","tree","top","318","x","134","test","top"
"car","1","windows","top","385","x","134","test","top"
"sugar","1","extract","bottom","444","o","134","filler","filler"
"milk","1","virus","top","435","x","134","filler","filler"
"bedroom","1","carpet","bottom","352","o","134","test","bottom"
"tax","1","pressure","top","334","o","134","filler","filler"
"air","1","current","bottom","415","x","134","filler","filler"
"chocolate","1","powder","bottom","418","o","134","filler","filler"
"mushroom","1","stalk","top","593","x","134","test","bottom"
"sugar","1","alcohol","top","420","x","134","filler","filler"
"church","1","steeple","top","382","x","134","test","top"
"bird","1","eye","top","395","x","134","test","top"
"dog","1","collar","top","377","x","134","test","top"
"trouser","1","hem","top","335","x","134","test","bottom"
"shower","1","drain","top","335","x","134","test","bottom"
"student","1","vote","top","379","x","134","filler","filler"
"college","1","lake","top","550","o","134","filler","filler"
"street","1","corner","top","320","x","134","test","bottom"
"urban","1","riot","top","318","o","134","filler","filler"
"shower","0","spout","bottom","390","o","134","test","top"
"coffee","1","tension","top","393","x","134","filler","filler"
"broom","1","bristles","bottom","365","o","134","test","bottom"
"wood","1","freshner","bottom","318","o","134","filler","filler"
"chocolate","1","shavings","top","399","x","134","filler","filler"
"winter","1","show","bottom","609","x","134","filler","filler"
"honey","1","soup","top","440","x","134","filler","filler"
"coal","1","country","bottom","537","o","134","filler","filler"
"rain","1","puddle","top","394","x","134","test","bottom"
"plastic","1","shortage","bottom","389","x","134","filler","filler"
"rain","1","cloud","bottom","442","o","134","test","top"
"desk","1","lamp","top","530","x","134","test","top"
"honey","1","muffin","bottom","429","o","134","filler","filler"
"bedroom","1","curtains","top","415","x","134","test","top"
"coffee","1","stain","bottom","371","o","134","filler","filler"
"mountain","1","peak","bottom","369","o","134","test","top"
"family","1","garden","bottom","406","x","134","filler","filler"
"steam","1","turbine","bottom","467","x","134","filler","filler"
"table","1","cloth","bottom","350","o","134","test","top"
"birth","1","rash","top","467","o","134","filler","filler"
"nose","1","sound","top","368","x","134","filler","filler"
"bird","1","talon","bottom","562","o","134","test","bottom"
"elephant","1","foot","bottom","369","o","134","test","bottom"
"cactus","1","chipmunk","bottom","319","o","134","filler","filler"
"cowboy","1","hat","top","417","x","134","test","top"
"bottle","1","coaster","bottom","355","o","134","test","bottom"
"air","1","power","top","427","o","134","filler","filler"
"oil","1","treatment","top","392","o","134","filler","filler"
"moth","1","shape","top","482","x","134","filler","filler"
"family","1","cow","top","306","o","134","filler","filler"
"dog","1","paw","bottom","387","o","134","test","bottom"
"summer","1","clothes","bottom","401","x","134","filler","filler"
"table","1","leg","top","366","x","134","test","bottom"
"summer","1","money","top","323","o","134","filler","filler"
"broom","1","handle","top","390","x","134","test","top"
"horse","1","mane","bottom","370","o","134","test","top"
"moth","1","wing","bottom","308","o","134","filler","filler"
"wood","1","stove","top","365","x","134","filler","filler"
"grain","1","law","top","355","o","134","filler","filler"
"flower","1","stem","top","499","x","134","test","bottom"
