"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"honey","1","muffin","bottom","512","o","120","filler","filler"
"winter","1","show","bottom","660","x","120","filler","filler"
"olive","1","fertilizer","bottom","684","x","120","filler","filler"
"ocean","1","surface","bottom","635","o","120","test","top"
"cable","1","pulley","bottom","571","o","120","filler","filler"
"wood","1","freshner","bottom","456","o","120","filler","filler"
"water","1","algae","bottom","702","o","120","filler","filler"
"chocolate","1","powder","bottom","605","o","120","filler","filler"
"car","1","windows","top","577","x","120","test","top"
"honey","1","soup","top","511","x","120","filler","filler"
"floor","1","rug","top","433","x","120","test","bottom"
"family","1","garden","bottom","516","x","120","filler","filler"
"bedroom","1","carpet","bottom","454","o","120","test","bottom"
"cable","1","brake","top","606","x","120","filler","filler"
"nose","1","sound","top","513","x","120","filler","filler"
"dog","1","paw","bottom","484","o","120","test","bottom"
"horse","1","mane","bottom","420","o","120","test","top"
"horse","1","hooves","top","494","x","120","test","bottom"
"shoe","1","soles","top","394","x","120","test","bottom"
"college","1","property","bottom","522","x","120","filler","filler"
"shoe","1","laces","bottom","484","o","120","test","top"
"urban","1","riot","top","524","o","120","filler","filler"
"bird","1","eye","top","491","x","120","test","top"
"plastic","1","shortage","bottom","458","x","120","filler","filler"
"sugar","1","alcohol","top","527","x","120","filler","filler"
"bottle","1","cap","top","402","x","120","test","top"
"coal","1","country","bottom","401","o","120","filler","filler"
"steam","1","turbine","bottom","498","x","120","filler","filler"
"elephant","1","ear","top","471","x","120","test","top"
"air","1","current","bottom","412","x","120","filler","filler"
"corn","1","stalk","top","541","x","120","test","top"
"tree","1","roots","top","397","x","120","test","bottom"
"plastic","1","report","top","455","o","120","filler","filler"
"broom","1","handle","top","507","x","120","test","top"
"urban","1","tower","bottom","417","x","120","filler","filler"
"bird","1","talon","bottom","470","o","120","test","bottom"
"sugar","1","extract","bottom","493","o","120","filler","filler"
"tree","1","leaves","bottom","426","o","120","test","top"
"bicycle","1","tire","bottom","368","o","120","test","bottom"
"cowboy","1","boot","bottom","369","o","120","test","bottom"
"flower","1","petal","bottom","333","o","120","test","top"
"clock","1","radio","bottom","343","o","120","test","bottom"
"fruit","1","food","top","487","x","120","filler","filler"
"coconut","1","tree","top","451","x","120","test","top"
"moth","1","wing","bottom","498","o","120","filler","filler"
"student","1","accusation","bottom","483","o","120","filler","filler"
"coffee","1","tension","top","467","x","120","filler","filler"
"church","1","pew","bottom","436","o","120","test","bottom"
"cowboy","1","hat","top","447","x","120","test","top"
"grain","1","law","top","558","o","120","filler","filler"
"car","1","wheels","bottom","577","o","120","test","bottom"
"dog","1","collar","top","494","x","120","test","top"
"coal","1","town","top","509","x","120","filler","filler"
"mushroom","1","cap","bottom","425","o","120","test","top"
"pine","1","bark","bottom","404","o","120","filler","filler"
"cactus","1","chipmunk","bottom","567","o","120","filler","filler"
"desk","1","lamp","top","578","x","120","test","top"
"cactus","1","bee","top","415","x","120","filler","filler"
"house","1","cellar","top","437","x","120","test","bottom"
"oil","1","moisturizer","bottom","497","x","120","filler","filler"
"job","1","language","top","446","o","120","filler","filler"
"floor","1","lamp","bottom","482","o","120","test","top"
"moth","1","shape","top","366","x","120","filler","filler"
"summer","1","money","top","425","o","120","filler","filler"
"table","1","cloth","bottom","642","o","120","test","top"
"flower","1","stem","top","430","x","120","test","bottom"
"milk","1","virus","top","426","x","120","filler","filler"
"nose","1","itch","bottom","460","o","120","filler","filler"
"grain","1","controversy","bottom","496","x","120","filler","filler"
"corn","1","seed","bottom","465","o","120","test","bottom"
"tax","1","wealth","bottom","501","x","120","filler","filler"
"rain","1","cloud","bottom","438","o","120","test","top"
"summer","1","clothes","bottom","501","x","120","filler","filler"
"family","1","cow","top","477","o","120","filler","filler"
"bedroom","1","curtains","top","544","x","120","test","top"
"shower","1","spout","bottom","434","o","120","test","top"
