"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"honey","1","muffin","bottom","431","o","123","filler","filler"
"shower","1","spout","bottom","379","o","123","test","top"
"shoe","1","soles","top","367","x","123","test","bottom"
"winter","1","book","top","384","o","123","filler","filler"
"birth","1","rash","top","351","o","123","filler","filler"
"corn","1","seed","bottom","463","o","123","test","bottom"
"steam","1","turbine","bottom","533","x","123","filler","filler"
"chocolate","0","shavings","top","272","x","123","filler","filler"
"mountain","1","base","top","502","x","123","test","bottom"
"clock","1","radio","bottom","270","o","123","test","bottom"
"mountain","1","peak","bottom","353","o","123","test","top"
"flower","1","stem","top","368","x","123","test","bottom"
"cactus","1","bee","top","372","x","123","filler","filler"
"shoe","1","laces","bottom","387","o","123","test","top"
"coffee","0","tension","top","4","x","123","filler","filler"
"cactus","1","chipmunk","bottom","476","o","123","filler","filler"
"flower","1","petal","bottom","479","o","123","test","top"
"student","0","accusation","bottom","332","o","123","filler","filler"
"car","0","wheels","bottom","393","o","123","test","bottom"
"horse","1","hooves","top","544","x","123","test","bottom"
"corn","1","stalk","top","572","x","123","test","top"
"coconut","1","milk","bottom","344","o","123","test","bottom"
"rain","1","puddle","top","532","x","123","test","bottom"
"elephant","1","ear","top","435","x","123","test","top"
"steam","1","lock","top","430","o","123","filler","filler"
"bird","1","eye","top","544","x","123","test","top"
"broom","1","handle","top","594","x","123","test","top"
"dog","1","collar","top","523","x","123","test","top"
"fruit","1","food","top","450","x","123","filler","filler"
"grain","1","controversy","bottom","573","x","123","filler","filler"
"floor","1","lamp","bottom","410","o","123","test","top"
"urban","1","riot","top","514","o","123","filler","filler"
"cane","1","sugar","top","435","o","123","filler","filler"
"cane","1","juice","bottom","444","x","123","filler","filler"
"table","1","cloth","bottom","482","o","123","test","top"
"water","1","bird","top","531","x","123","filler","filler"
"nose","1","sound","top","562","x","123","filler","filler"
"trouser","1","buckle","bottom","340","o","123","test","top"
"wood","0","stove","top","337","x","123","filler","filler"
"college","1","lake","top","416","o","123","filler","filler"
"ocean","1","surface","bottom","412","o","123","test","top"
"summer","1","money","top","536","o","123","filler","filler"
"mushroom","1","cap","bottom","471","o","123","test","top"
"milk","1","bacterium","bottom","518","o","123","filler","filler"
"urban","0","tower","bottom","406","x","123","filler","filler"
"plastic","1","report","top","419","o","123","filler","filler"
"table","1","leg","top","700","x","123","test","bottom"
"winter","1","show","bottom","496","x","123","filler","filler"
"cable","1","pulley","bottom","478","o","123","filler","filler"
"coconut","1","tree","top","514","x","123","test","top"
"coal","1","country","bottom","515","o","123","filler","filler"
"bear","1","claw","bottom","465","o","123","test","bottom"
"horse","1","mane","bottom","437","o","123","test","top"
"fruit","1","slice","bottom","528","o","123","filler","filler"
"cowboy","1","boot","bottom","424","o","123","test","bottom"
"oil","1","moisturizer","bottom","510","x","123","filler","filler"
"bottle","1","cap","top","434","x","123","test","top"
"desk","1","lamp","top","445","x","123","test","top"
"grain","1","law","top","398","o","123","filler","filler"
"air","1","power","top","309","o","123","filler","filler"
"honey","1","soup","top","404","x","123","filler","filler"
"sugar","1","extract","bottom","466","o","123","filler","filler"
"wood","1","freshner","bottom","385","o","123","filler","filler"
"tree","1","roots","top","419","x","123","test","bottom"
"ocean","1","floor","top","420","x","123","test","bottom"
"air","1","current","bottom","480","x","123","filler","filler"
"job","1","language","top","450","o","123","filler","filler"
"moth","1","shape","top","408","x","123","filler","filler"
"bedroom","1","curtains","top","402","x","123","test","top"
"bird","1","talon","bottom","348","o","123","test","bottom"
"tree","1","leaves","bottom","358","o","123","test","top"
"broom","1","bristles","bottom","434","o","123","test","bottom"
"olive","1","season","top","331","o","123","filler","filler"
"coffee","1","stain","bottom","353","o","123","filler","filler"
"student","1","vote","top","419","x","123","filler","filler"
"bear","1","snout","top","521","x","123","test","top"
"house","1","attic","bottom","536","o","123","test","top"
"chocolate","1","powder","bottom","479","o","123","filler","filler"
"church","1","steeple","top","529","x","123","test","top"
"pine","1","bark","bottom","455","o","123","filler","filler"
"floor","1","rug","top","495","x","123","test","bottom"
"moth","1","wing","bottom","820","o","123","filler","filler"
"shower","1","drain","top","494","x","123","test","bottom"
"milk","1","virus","top","694","x","123","filler","filler"
"car","1","windows","top","595","x","123","test","top"
"plastic","1","shortage","bottom","492","x","123","filler","filler"
"bottle","1","coaster","bottom","524","o","123","test","bottom"
"family","1","cow","top","521","o","123","filler","filler"
"rain","1","cloud","bottom","493","o","123","test","top"
"bicycle","1","seat","top","443","x","123","test","top"
"oil","1","treatment","top","592","o","123","filler","filler"
"street","1","light","bottom","450","o","123","test","top"
"water","1","algae","bottom","479","o","123","filler","filler"
"tax","1","wealth","bottom","526","x","123","filler","filler"
"olive","1","fertilizer","bottom","463","x","123","filler","filler"
"coal","1","town","top","1042","x","123","filler","filler"
