"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"family","1","garden","bottom","367","x","117","filler","filler"
"mountain","0","peak","bottom","396","o","117","test","top"
"steam","0","turbine","bottom","4","x","117","filler","filler"
"water","1","bird","top","3","x","117","filler","filler"
"wood","1","freshner","bottom","1","o","117","filler","filler"
"desk","0","drawer","bottom","1","o","117","test","bottom"
"bear","0","snout","top","392","x","117","test","top"
"sugar","1","alcohol","top","5","x","117","filler","filler"
"cable","1","pulley","bottom","670","o","117","filler","filler"
"cane","1","juice","bottom","434","x","117","filler","filler"
"honey","1","muffin","bottom","557","o","117","filler","filler"
"cactus","1","chipmunk","bottom","483","o","117","filler","filler"
"coffee","1","stain","bottom","333","o","117","filler","filler"
"nose","1","itch","bottom","406","o","117","filler","filler"
"corn","1","seed","bottom","334","o","117","test","bottom"
"urban","1","tower","bottom","464","x","117","filler","filler"
"tree","1","leaves","bottom","504","o","117","test","top"
"broom","1","handle","top","484","x","117","test","top"
"horse","1","hooves","top","427","x","117","test","bottom"
"table","1","cloth","bottom","411","o","117","test","top"
"coconut","1","tree","top","629","x","117","test","top"
"trouser","1","hem","top","599","x","117","test","bottom"
"urban","1","riot","top","428","o","117","filler","filler"
"fruit","1","food","top","485","x","117","filler","filler"
"cane","1","sugar","top","322","o","117","filler","filler"
"bird","1","eye","top","390","x","117","test","top"
"winter","1","show","bottom","397","x","117","filler","filler"
"house","0","attic","bottom","384","o","117","test","top"
"coal","0","town","top","412","x","117","filler","filler"
"olive","1","season","top","495","o","117","filler","filler"
"coconut","1","milk","bottom","566","o","117","test","bottom"
"trouser","1","buckle","bottom","451","o","117","test","top"
"elephant","1","ear","top","500","x","117","test","top"
"oil","1","treatment","top","430","o","117","filler","filler"
"bicycle","1","seat","top","510","x","117","test","top"
"birth","1","cramp","bottom","401","x","117","filler","filler"
"mountain","1","base","top","619","x","117","test","bottom"
"floor","1","lamp","bottom","481","o","117","test","top"
"shower","1","drain","top","561","x","117","test","bottom"
"college","1","lake","top","400","o","117","filler","filler"
"hotel","1","lobby","top","427","x","117","test","bottom"
"birth","1","rash","top","400","o","117","filler","filler"
"honey","1","soup","top","478","x","117","filler","filler"
"dog","1","paw","bottom","486","o","117","test","bottom"
"fruit","1","slice","bottom","591","o","117","filler","filler"
"summer","1","clothes","bottom","370","x","117","filler","filler"
"bottle","0","coaster","bottom","344","o","117","test","bottom"
"milk","1","virus","top","528","x","117","filler","filler"
"student","1","vote","top","489","x","117","filler","filler"
"coffee","1","tension","top","433","x","117","filler","filler"
"tax","1","wealth","bottom","468","x","117","filler","filler"
"winter","1","book","top","462","o","117","filler","filler"
"shoe","1","soles","top","448","x","117","test","bottom"
"summer","1","money","top","451","o","117","filler","filler"
"elephant","0","foot","bottom","404","o","117","test","bottom"
"moth","1","shape","top","542","x","117","filler","filler"
"ocean","1","surface","bottom","449","o","117","test","top"
"church","1","steeple","top","464","x","117","test","top"
"cowboy","1","boot","bottom","462","o","117","test","bottom"
"mushroom","1","stalk","top","445","x","117","test","bottom"
"family","1","cow","top","464","o","117","filler","filler"
"shower","1","spout","bottom","579","o","117","test","top"
"oil","1","moisturizer","bottom","449","x","117","filler","filler"
"house","1","cellar","top","514","x","117","test","bottom"
"car","1","windows","top","462","x","117","test","top"
