"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"olive","1","fertilizer","bottom","383","x","121","filler","filler"
"bicycle","1","tire","bottom","481","o","121","test","bottom"
"milk","1","virus","top","444","x","121","filler","filler"
"house","1","cellar","top","379","x","121","test","bottom"
"table","1","cloth","bottom","428","o","121","test","top"
"fruit","1","slice","bottom","406","o","121","filler","filler"
"bird","1","eye","top","457","x","121","test","top"
"tree","1","roots","top","441","x","121","test","bottom"
"sugar","1","extract","bottom","397","o","121","filler","filler"
"hotel","1","roof","bottom","465","o","121","test","top"
"bicycle","1","seat","top","372","x","121","test","top"
"dog","1","paw","bottom","419","o","121","test","bottom"
"floor","1","lamp","bottom","390","o","121","test","top"
"student","1","accusation","bottom","404","o","121","filler","filler"
"shoe","1","laces","bottom","368","o","121","test","top"
"birth","0","rash","top","468","o","121","filler","filler"
"coal","1","country","bottom","400","o","121","filler","filler"
"cactus","1","bee","top","479","x","121","filler","filler"
"flower","1","petal","bottom","423","o","121","test","top"
"bear","1","claw","bottom","506","o","121","test","bottom"
"ocean","1","surface","bottom","435","o","121","test","top"
"hotel","1","lobby","top","430","x","121","test","bottom"
"birth","1","cramp","bottom","481","x","121","filler","filler"
"summer","1","money","top","414","o","121","filler","filler"
"air","1","current","bottom","423","x","121","filler","filler"
"horse","1","hooves","top","461","x","121","test","bottom"
"corn","1","seed","bottom","420","o","121","test","bottom"
"urban","1","riot","top","333","o","121","filler","filler"
"nose","0","sound","top","334","x","121","filler","filler"
"coal","1","town","top","456","x","121","filler","filler"
"grain","1","controversy","bottom","410","x","121","filler","filler"
"mountain","1","peak","bottom","449","o","121","test","top"
"winter","1","book","top","477","o","121","filler","filler"
"coffee","1","stain","bottom","463","o","121","filler","filler"
"water","1","bird","top","497","x","121","filler","filler"
"church","1","pew","bottom","497","o","121","test","bottom"
"plastic","1","report","top","577","o","121","filler","filler"
"shoe","1","soles","top","464","x","121","test","bottom"
"honey","1","muffin","bottom","420","o","121","filler","filler"
"winter","1","show","bottom","465","x","121","filler","filler"
"mountain","1","base","top","590","x","121","test","bottom"
"bear","1","snout","top","509","x","121","test","top"
"trouser","1","buckle","bottom","398","o","121","test","top"
"broom","1","handle","top","418","x","121","test","top"
"tax","1","wealth","bottom","416","x","121","filler","filler"
"cable","1","pulley","bottom","420","o","121","filler","filler"
"house","1","attic","bottom","415","o","121","test","top"
"bottle","1","cap","top","418","x","121","test","top"
"broom","1","bristles","bottom","415","o","121","test","bottom"
"chocolate","1","shavings","top","411","x","121","filler","filler"
"honey","1","soup","top","366","x","121","filler","filler"
"steam","1","turbine","bottom","420","x","121","filler","filler"
"bottle","1","coaster","bottom","481","o","121","test","bottom"
"oil","1","treatment","top","387","o","121","filler","filler"
"coconut","1","milk","bottom","443","o","121","test","bottom"
"cane","1","sugar","top","350","o","121","filler","filler"
"nose","1","itch","bottom","448","o","121","filler","filler"
"bedroom","1","carpet","bottom","451","o","121","test","bottom"
"ocean","1","floor","top","470","x","121","test","bottom"
"oil","1","moisturizer","bottom","451","x","121","filler","filler"
"table","1","leg","top","470","x","121","test","bottom"
"mushroom","1","cap","bottom","412","o","121","test","top"
"family","1","garden","bottom","391","x","121","filler","filler"
"pine","1","oil","top","434","x","121","filler","filler"
"college","1","property","bottom","397","x","121","filler","filler"
"street","1","corner","top","425","x","121","test","bottom"
"corn","1","stalk","top","491","x","121","test","top"
"milk","1","bacterium","bottom","430","o","121","filler","filler"
"rain","1","cloud","bottom","447","o","121","test","top"
"clock","1","tower","top","478","x","121","test","top"
"dog","1","collar","top","490","x","121","test","top"
"coffee","1","tension","top","415","x","121","filler","filler"
"car","1","windows","top","405","x","121","test","top"
"air","1","power","top","401","o","121","filler","filler"
"tax","1","pressure","top","341","o","121","filler","filler"
"job","1","language","top","374","o","121","filler","filler"
"cable","1","brake","top","491","x","121","filler","filler"
"cane","1","juice","bottom","417","x","121","filler","filler"
"church","1","steeple","top","448","x","121","test","top"
"pine","1","bark","bottom","422","o","121","filler","filler"
