"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"horse","1","hooves","top","701","x","125","test","bottom"
"moth","1","shape","top","431","x","125","filler","filler"
"desk","1","drawer","bottom","587","o","125","test","bottom"
"olive","1","fertilizer","bottom","657","x","125","filler","filler"
"street","1","corner","top","521","x","125","test","bottom"
"plastic","1","report","top","528","o","125","filler","filler"
"coconut","1","tree","top","596","x","125","test","top"
"bicycle","1","tire","bottom","592","o","125","test","bottom"
"plastic","1","shortage","bottom","431","x","125","filler","filler"
"tree","1","roots","top","483","x","125","test","bottom"
"college","1","property","bottom","497","x","125","filler","filler"
"car","1","wheels","bottom","547","o","125","test","bottom"
"sugar","1","extract","bottom","484","o","125","filler","filler"
"clock","1","radio","bottom","597","o","125","test","bottom"
"winter","1","show","bottom","626","x","125","filler","filler"
"milk","1","virus","top","580","x","125","filler","filler"
"rain","1","puddle","top","481","x","125","test","bottom"
"cable","1","brake","top","429","x","125","filler","filler"
"sugar","1","alcohol","top","397","x","125","filler","filler"
"moth","1","wing","bottom","702","o","125","filler","filler"
"rain","1","cloud","bottom","514","o","125","test","top"
"broom","1","bristles","bottom","428","o","125","test","bottom"
"nose","1","sound","top","509","x","125","filler","filler"
"mushroom","1","stalk","top","446","x","125","test","bottom"
"ocean","1","floor","top","433","x","125","test","bottom"
"coal","1","country","bottom","577","o","125","filler","filler"
"mushroom","1","cap","bottom","481","o","125","test","top"
"cane","1","juice","bottom","484","x","125","filler","filler"
"student","1","vote","top","475","x","125","filler","filler"
"corn","1","stalk","top","686","x","125","test","top"
"church","1","steeple","top","422","x","125","test","top"
"street","1","light","bottom","525","o","125","test","top"
"house","1","cellar","top","554","x","125","test","bottom"
"olive","1","season","top","457","o","125","filler","filler"
"pine","1","oil","top","397","x","125","filler","filler"
"flower","1","stem","top","442","x","125","test","bottom"
"bicycle","1","seat","top","397","x","125","test","top"
"family","1","cow","top","609","o","125","filler","filler"
"horse","1","mane","bottom","654","o","125","test","top"
"bear","1","snout","top","541","x","125","test","top"
"grain","1","controversy","bottom","654","x","125","filler","filler"
"broom","1","handle","top","465","x","125","test","top"
"steam","1","lock","top","468","o","125","filler","filler"
"water","1","algae","bottom","713","o","125","filler","filler"
"table","1","leg","top","556","x","125","test","bottom"
"chocolate","1","shavings","top","516","x","125","filler","filler"
"bear","1","claw","bottom","546","o","125","test","bottom"
"oil","1","treatment","top","480","o","125","filler","filler"
"winter","1","book","top","427","o","125","filler","filler"
"student","1","accusation","bottom","615","o","125","filler","filler"
"elephant","1","ear","top","580","x","125","test","top"
