"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"elephant","1","foot","bottom","414","o","126","test","bottom"
"cane","1","juice","bottom","512","x","126","filler","filler"
"cactus","1","bee","top","422","x","126","filler","filler"
"sugar","1","alcohol","top","350","x","126","filler","filler"
"bird","1","eye","top","399","x","126","test","top"
"bedroom","1","curtains","top","404","x","126","test","top"
"corn","0","seed","bottom","558","o","126","test","bottom"
"bottle","1","coaster","bottom","451","o","126","test","bottom"
"house","1","cellar","top","463","x","126","test","bottom"
"desk","1","lamp","top","430","x","126","test","top"
"hotel","1","roof","bottom","437","o","126","test","top"
"street","1","corner","top","494","x","126","test","bottom"
"bicycle","1","seat","top","393","x","126","test","top"
"pine","1","bark","bottom","453","o","126","filler","filler"
"desk","1","drawer","bottom","576","o","126","test","bottom"
"mushroom","1","stalk","top","459","x","126","test","bottom"
"nose","1","sound","top","467","x","126","filler","filler"
"table","1","leg","top","537","x","126","test","bottom"
"moth","1","shape","top","430","x","126","filler","filler"
"ocean","1","floor","top","392","x","126","test","bottom"
"corn","1","stalk","top","301","x","126","test","top"
"nose","1","itch","bottom","363","o","126","filler","filler"
"tax","1","pressure","top","354","o","126","filler","filler"
"trouser","1","hem","top","380","x","126","test","bottom"
"bicycle","1","tire","bottom","446","o","126","test","bottom"
"urban","1","tower","bottom","770","x","126","filler","filler"
"job","1","language","top","445","o","126","filler","filler"
"flower","1","stem","top","355","x","126","test","bottom"
"hotel","1","lobby","top","411","x","126","test","bottom"
"horse","1","mane","bottom","536","o","126","test","top"
"air","1","current","bottom","394","x","126","filler","filler"
"coconut","1","tree","top","470","x","126","test","top"
"sugar","1","extract","bottom","428","o","126","filler","filler"
"shower","1","drain","top","366","x","126","test","bottom"
"cactus","1","chipmunk","bottom","415","o","126","filler","filler"
"table","1","cloth","bottom","630","o","126","test","top"
"steam","1","turbine","bottom","545","x","126","filler","filler"
"college","1","lake","top","399","o","126","filler","filler"
"birth","1","rash","top","466","o","126","filler","filler"
"trouser","1","buckle","bottom","439","o","126","test","top"
"wood","1","freshner","bottom","375","o","126","filler","filler"
"bear","1","snout","top","493","x","126","test","top"
"shower","1","spout","bottom","430","o","126","test","top"
"broom","1","handle","top","418","x","126","test","top"
"cowboy","1","boot","bottom","508","o","126","test","bottom"
"horse","1","hooves","top","381","x","126","test","bottom"
"coal","0","town","top","373","x","126","filler","filler"
"ocean","1","surface","bottom","480","o","126","test","top"
"family","1","garden","bottom","533","x","126","filler","filler"
"milk","1","bacterium","bottom","488","o","126","filler","filler"
"mountain","1","base","top","516","x","126","test","bottom"
"moth","1","wing","bottom","452","o","126","filler","filler"
"plastic","1","report","top","443","o","126","filler","filler"
"broom","1","bristles","bottom","265","o","126","test","bottom"
"steam","1","lock","top","339","o","126","filler","filler"
"cane","1","sugar","top","321","o","126","filler","filler"
"pine","1","oil","top","416","x","126","filler","filler"
"cowboy","1","hat","top","355","x","126","test","top"
"summer","0","clothes","bottom","513","x","126","filler","filler"
"fruit","0","food","top","530","x","126","filler","filler"
"chocolate","1","powder","bottom","785","o","126","filler","filler"
"honey","1","muffin","bottom","408","o","126","filler","filler"
"shoe","1","soles","top","483","x","126","test","bottom"
"car","1","wheels","bottom","532","o","126","test","bottom"
"family","1","cow","top","657","o","126","filler","filler"
"fruit","1","slice","bottom","569","o","126","filler","filler"
"milk","1","virus","top","514","x","126","filler","filler"
"winter","1","book","top","435","o","126","filler","filler"
"cable","1","pulley","bottom","702","o","126","filler","filler"
"honey","1","soup","top","481","x","126","filler","filler"
"dog","1","paw","bottom","599","o","126","test","bottom"
"bottle","1","cap","top","485","x","126","test","top"
"tree","1","roots","top","479","x","126","test","bottom"
"mountain","1","peak","bottom","606","o","126","test","top"
"olive","1","fertilizer","bottom","642","x","126","filler","filler"
"college","1","property","bottom","601","x","126","filler","filler"
"coconut","1","milk","bottom","478","o","126","test","bottom"
"church","1","steeple","top","485","x","126","test","top"
"birth","1","cramp","bottom","483","x","126","filler","filler"
"summer","1","money","top","523","o","126","filler","filler"
"rain","1","cloud","bottom","478","o","126","test","top"
"oil","1","treatment","top","530","o","126","filler","filler"
"rain","1","puddle","top","446","x","126","test","bottom"
"olive","1","season","top","611","o","126","filler","filler"
"mushroom","1","cap","bottom","609","o","126","test","top"
"urban","1","riot","top","350","o","126","filler","filler"
"house","1","attic","bottom","419","o","126","test","top"
"clock","1","tower","top","558","x","126","test","top"
"coffee","0","stain","bottom","427","o","126","filler","filler"
"air","1","power","top","374","o","126","filler","filler"
"coffee","1","tension","top","571","x","126","filler","filler"
"student","1","accusation","bottom","705","o","126","filler","filler"
"car","1","windows","top","483","x","126","test","top"
"chocolate","1","shavings","top","781","x","126","filler","filler"
"bedroom","1","carpet","bottom","657","o","126","test","bottom"
