"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"fruit","1","food","top","414","x","133","filler","filler"
"family","1","garden","bottom","359","x","133","filler","filler"
"birth","1","cramp","bottom","345","x","133","filler","filler"
"steam","1","lock","top","266","o","133","filler","filler"
"broom","1","handle","top","285","x","133","test","top"
"bear","1","snout","top","307","x","133","test","top"
"floor","1","rug","top","286","x","133","test","bottom"
"street","1","corner","top","321","x","133","test","bottom"
"bird","1","eye","top","256","x","133","test","top"
"oil","1","moisturizer","bottom","444","x","133","filler","filler"
"olive","1","fertilizer","bottom","339","x","133","filler","filler"
"cane","1","juice","bottom","301","x","133","filler","filler"
"grain","1","law","top","270","o","133","filler","filler"
"bicycle","0","tire","bottom","373","o","133","test","bottom"
"cable","1","brake","top","518","x","133","filler","filler"
"desk","1","drawer","bottom","356","o","133","test","bottom"
"cable","1","pulley","bottom","360","o","133","filler","filler"
"cactus","1","chipmunk","bottom","348","o","133","filler","filler"
"honey","1","muffin","bottom","366","o","133","filler","filler"
"bird","1","talon","bottom","351","o","133","test","bottom"
"mountain","1","peak","bottom","293","o","133","test","top"
"mushroom","1","cap","bottom","287","o","133","test","top"
"clock","1","tower","top","357","x","133","test","top"
"coffee","1","stain","bottom","368","o","133","filler","filler"
"fruit","1","slice","bottom","305","o","133","filler","filler"
"rain","1","cloud","bottom","364","o","133","test","top"
"coffee","1","tension","top","335","x","133","filler","filler"
"flower","1","stem","top","346","x","133","test","bottom"
"shower","1","drain","top","337","x","133","test","bottom"
"floor","1","lamp","bottom","319","o","133","test","top"
"plastic","1","report","top","369","o","133","filler","filler"
"hotel","1","roof","bottom","404","o","133","test","top"
"summer","1","money","top","365","o","133","filler","filler"
"olive","1","season","top","310","o","133","filler","filler"
"tax","1","wealth","bottom","477","x","133","filler","filler"
"urban","1","tower","bottom","362","x","133","filler","filler"
"coal","1","country","bottom","404","o","133","filler","filler"
"moth","1","shape","top","435","x","133","filler","filler"
"sugar","1","alcohol","top","404","x","133","filler","filler"
"wood","1","freshner","bottom","369","o","133","filler","filler"
"trouser","1","hem","top","430","x","133","test","bottom"
"ocean","1","floor","top","321","x","133","test","bottom"
"church","1","steeple","top","307","x","133","test","top"
"coconut","1","milk","bottom","345","o","133","test","bottom"
"cane","1","sugar","top","350","o","133","filler","filler"
"honey","1","soup","top","384","x","133","filler","filler"
"milk","1","virus","top","308","x","133","filler","filler"
"pine","1","bark","bottom","283","o","133","filler","filler"
"elephant","1","foot","bottom","368","o","133","test","bottom"
"bear","1","claw","bottom","404","o","133","test","bottom"
"cactus","1","bee","top","511","x","133","filler","filler"
"bedroom","1","carpet","bottom","322","o","133","test","bottom"
"rain","1","puddle","top","353","x","133","test","bottom"
"family","1","cow","top","306","o","133","filler","filler"
"dog","1","paw","bottom","413","o","133","test","bottom"
"water","1","bird","top","400","x","133","filler","filler"
"bottle","1","coaster","bottom","290","o","133","test","bottom"
"cowboy","1","hat","top","354","x","133","test","top"
"tax","0","pressure","top","338","o","133","filler","filler"
"corn","1","seed","bottom","350","o","133","test","bottom"
"air","1","power","top","477","o","133","filler","filler"
"cowboy","1","boot","bottom","366","o","133","test","bottom"
"dog","1","collar","top","343","x","133","test","top"
"pine","1","oil","top","434","x","133","filler","filler"
"church","1","pew","bottom","289","o","133","test","bottom"
"milk","1","bacterium","bottom","353","o","133","filler","filler"
"horse","1","mane","bottom","288","o","133","test","top"
"bicycle","1","seat","top","400","x","133","test","top"
"winter","1","book","top","397","o","133","filler","filler"
"mountain","1","base","top","450","x","133","test","bottom"
"student","1","accusation","bottom","614","o","133","filler","filler"
"chocolate","1","shavings","top","528","x","133","filler","filler"
"tree","1","roots","top","433","x","133","test","bottom"
"college","1","property","bottom","402","x","133","filler","filler"
"job","1","language","top","307","o","133","filler","filler"
"college","1","lake","top","305","o","133","filler","filler"
"car","0","windows","top","351","x","133","test","top"
"car","1","wheels","bottom","354","o","133","test","bottom"
"ocean","1","surface","bottom","379","o","133","test","top"
"job","1","competition","bottom","351","x","133","filler","filler"
"nose","1","sound","top","512","x","133","filler","filler"
"coal","1","town","top","408","x","133","filler","filler"
"house","1","cellar","top","411","x","133","test","bottom"
"nose","1","itch","bottom","432","o","133","filler","filler"
"house","1","attic","bottom","477","o","133","test","top"
"bedroom","1","curtains","top","431","x","133","test","top"
"shoe","1","laces","bottom","401","o","133","test","top"
"summer","1","clothes","bottom","448","x","133","filler","filler"
"table","1","leg","top","353","x","133","test","bottom"
"flower","1","petal","bottom","382","o","133","test","top"
"plastic","1","shortage","bottom","415","x","133","filler","filler"
"horse","1","hooves","top","367","x","133","test","bottom"
"grain","1","controversy","bottom","430","x","133","filler","filler"
"bottle","1","cap","top","289","x","133","test","top"
"steam","1","turbine","bottom","500","x","133","filler","filler"
"broom","0","bristles","bottom","315","o","133","test","bottom"
"oil","1","treatment","top","487","o","133","filler","filler"
"clock","0","radio","bottom","543","o","133","test","bottom"
"trouser","1","buckle","bottom","374","o","133","test","top"
"hotel","1","lobby","top","392","x","133","test","bottom"
"wood","1","stove","top","416","x","133","filler","filler"
"sugar","1","extract","bottom","547","o","133","filler","filler"
"elephant","1","ear","top","482","x","133","test","top"
"tree","1","leaves","bottom","340","o","133","test","top"
"water","1","algae","bottom","365","o","133","filler","filler"
"student","1","vote","top","317","x","133","filler","filler"
"shower","1","spout","bottom","561","o","133","test","top"
"mushroom","1","stalk","top","351","x","133","test","bottom"
"urban","1","riot","top","333","o","133","filler","filler"
"winter","1","show","bottom","436","x","133","filler","filler"
"street","1","light","bottom","384","o","133","test","top"
"moth","1","wing","bottom","344","o","133","filler","filler"
"desk","1","lamp","top","373","x","133","test","top"
"corn","0","stalk","top","323","x","133","test","top"
"coconut","1","tree","top","610","x","133","test","top"
"birth","1","rash","top","378","o","133","filler","filler"
"chocolate","1","powder","bottom","434","o","133","filler","filler"
"air","1","current","bottom","453","x","133","filler","filler"
"table","1","cloth","bottom","384","o","133","test","top"
"shoe","1","soles","top","399","x","133","test","bottom"
